Round,Grand Prix,Circuit,Date
1,Australian Grand Prix,"Albert Park Circuit, Melbourne",7 March
2,Brazilian Grand Prix,"Autódromo José Carlos Pace, São Paulo",11 April
3,San Marino Grand Prix,"Autodromo Enzo e Dino Ferrari, Imola",2 May
4,Monaco Grand Prix,"Circuit de Monaco, Monte-Carlo",16 May
5,Spanish Grand Prix,"Circuit de Catalunya, Montmeló",30 May
6,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",13 June
7,French Grand Prix,"Circuit de Nevers Magny-Cours, Magny-Cours",27 June
8,British Grand Prix,"Silverstone Circuit, Silverstone",11 July
9,Austrian Grand Prix,"A1-Ring, Spielberg",25 July
10,German Grand Prix,"Hockenheimring, Hockenheim",1 August
11,Hungarian Grand Prix,"Hungaroring, Mogyoród",15 August
12,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",29 August
13,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",12 September
14,European Grand Prix,"Nürburgring, Nürburg",26 September
15,Malaysian Grand Prix,"Sepang International Circuit, Kuala Lumpur",17 October
16,Japanese Grand Prix,"Suzuka Circuit, Suzuka",31 October
Source:[6],Source:[6],Source:[6],Source:[6]
