Round,Grand Prix,Circuit,Date,Unnamed: 4
1,South African Grand Prix,"Kyalami Grand Prix Circuit, Midrand",23 January,
2,Brazilian Grand Prix,"Jacarepaguá, Rio de Janeiro",21 March,
3,United States Grand Prix West,"Long Beach Street Circuit, California",4 April,
4,San Marino Grand Prix,"Autodromo Dino Ferrari, Imola",25 April,
5,Belgian Grand Prix,"Circuit Zolder, Heusden-Zolder",9 May,
6,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",23 May,
7,Detroit Grand Prix,"Detroit Street Circuit, Michigan",6 June,
8,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",13 June,
9,Dutch Grand Prix,"Circuit Park Zandvoort, Zandvoort",3 July,
10,British Grand Prix,"Brands Hatch, West Kingsdown",18 July,
11,French Grand Prix,"Circuit Paul Ricard, Le Castellet",25 July,
12,German Grand Prix,"Hockenheimring, Hockenheim",8 August,
13,Austrian Grand Prix,"Österreichring, Spielberg",15 August,
14,Swiss Grand Prix,"Dijon-Prenois, Dijon",29 August,
15,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",12 September,
16,Caesars Palace Grand Prix[b],"Caesars Palace Grand Prix Circuit, Las Vegas",25 September,
Source:[23][24][25],Source:[23][24][25],Source:[23][24][25],Source:[23][24][25],Source:[23][24][25]
