Round,Race,Pole Position,Fastest Lap,Winning driver,Constructor,Report,Unnamed: 7,Unnamed: 8
1,South African Grand Prix,René Arnoux,Alain Prost,Alain Prost,Renault,Report,,
2,Brazilian Grand Prix,Alain Prost,Alain Prost,Alain Prost[i],Renault,Report,,
3,United States Grand Prix West,Andrea de Cesaris,Niki Lauda,Niki Lauda,McLaren-Ford,Report,,
4,San Marino Grand Prix,René Arnoux,Didier Pironi,Didier Pironi,Ferrari,Report,,
5,Belgian Grand Prix,Alain Prost,John Watson,John Watson,McLaren-Ford,Report,,
6,Monaco Grand Prix,René Arnoux,Riccardo Patrese,Riccardo Patrese,Brabham-Ford,Report,,
7,Detroit Grand Prix,Alain Prost,Alain Prost,John Watson,McLaren-Ford,Report,,
8,Canadian Grand Prix,Didier Pironi,Didier Pironi,Nelson Piquet,Brabham-BMW,Report,,
9,Dutch Grand Prix,René Arnoux,Derek Warwick,Didier Pironi,Ferrari,Report,,
10,British Grand Prix,Keke Rosberg,Brian Henton,Niki Lauda,McLaren-Ford,Report,,
11,French Grand Prix,René Arnoux,Riccardo Patrese,René Arnoux,Renault,Report,,
12,German Grand Prix,Didier Pironi[j],Nelson Piquet,Patrick Tambay,Ferrari,Report,,
13,Austrian Grand Prix,Nelson Piquet,Nelson Piquet,Elio de Angelis,Lotus-Ford,Report,,
14,Swiss Grand Prix,Alain Prost,Alain Prost,Keke Rosberg,Williams-Ford,Report,,
15,Italian Grand Prix,Mario Andretti,René Arnoux,René Arnoux,Renault,Report,,
16,Caesars Palace Grand Prix,Alain Prost,Michele Alboreto,Michele Alboreto,Tyrrell-Ford,Report,,
Source:[129],Source:[129],Source:[129],Source:[129],Source:[129],Source:[129],Source:[129],Source:[129],Source:[129]
