Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Report
1,Austrian Grand Prix,Valtteri Bottas,Lando Norris,Valtteri Bottas,Mercedes,Report
2,Styrian Grand Prix,Lewis Hamilton,Carlos Sainz Jr.,Lewis Hamilton,Mercedes,Report
3,Hungarian Grand Prix,Lewis Hamilton,Lewis Hamilton,Lewis Hamilton,Mercedes,Report
4,British Grand Prix,Lewis Hamilton,Max Verstappen,Lewis Hamilton,Mercedes,Report
5,70th Anniversary Grand Prix,Valtteri Bottas,Lewis Hamilton,Max Verstappen,Red Bull Racing-Honda,Report
6,Spanish Grand Prix,Lewis Hamilton,Valtteri Bottas,Lewis Hamilton,Mercedes,Report
7,Belgian Grand Prix,Lewis Hamilton,Daniel Ricciardo,Lewis Hamilton,Mercedes,Report
8,Italian Grand Prix,Lewis Hamilton,Lewis Hamilton,Pierre Gasly,AlphaTauri-Honda,Report
9,Tuscan Grand Prix,Lewis Hamilton,Lewis Hamilton,Lewis Hamilton,Mercedes,Report
10,Russian Grand Prix,Lewis Hamilton,Valtteri Bottas,Valtteri Bottas,Mercedes,Report
11,Eifel Grand Prix,Valtteri Bottas,Max Verstappen,Lewis Hamilton,Mercedes,Report
12,Portuguese Grand Prix,Lewis Hamilton,Lewis Hamilton,Lewis Hamilton,Mercedes,Report
13,Emilia Romagna Grand Prix,Valtteri Bottas,Lewis Hamilton,Lewis Hamilton,Mercedes,Report
14,Turkish Grand Prix,Lance Stroll,Lando Norris,Lewis Hamilton,Mercedes,Report
15,Bahrain Grand Prix,Lewis Hamilton,Max Verstappen,Lewis Hamilton,Mercedes,Report
16,Sakhir Grand Prix,Valtteri Bottas,George Russell,Sergio Pérez,Racing Point-BWT Mercedes,Report
17,Abu Dhabi Grand Prix,Max Verstappen,Daniel Ricciardo,Max Verstappen,Red Bull Racing-Honda,Report
Source:[152],Source:[152],Source:[152],Source:[152],Source:[152],Source:[152],Source:[152]
