Round,Grand Prix,Circuit,Date
1,Austrian Grand Prix,"Red Bull Ring, Spielberg",5 July
2,Styrian Grand Prix,"Red Bull Ring, Spielberg",12 July
3,Hungarian Grand Prix,"Hungaroring, Mogyoród",19 July[g]
4,British Grand Prix,"Silverstone Circuit, Silverstone",2 August[h]
5,70th Anniversary Grand Prix,"Silverstone Circuit, Silverstone",9 August
6,Spanish Grand Prix,"Circuit de Barcelona-Catalunya, Montmeló",16 August[i]
7,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",30 August
8,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",6 September
9,Tuscan Grand Prix,"Autodromo Internazionale del Mugello, Scarperia e San Piero",13 September
10,Russian Grand Prix,"Sochi Autodrom, Sochi",27 September
11,Eifel Grand Prix,"Nürburgring, Nürburg",11 October
12,Portuguese Grand Prix,"Autódromo Internacional do Algarve, Portimão",25 October
13,Emilia Romagna Grand Prix,"Autodromo Internazionale Enzo e Dino Ferrari, Imola",1 November
14,Turkish Grand Prix,"Istanbul Park, Tuzla",15 November
15,Bahrain Grand Prix,"Bahrain International Circuit, Sakhir[j]",29 November[k]
16,Sakhir Grand Prix,"Bahrain International Circuit, Sakhir[j]",6 December
17,Abu Dhabi Grand Prix,"Yas Marina Circuit, Abu Dhabi",13 December[l]
Sources:[51][52][53][54],Sources:[51][52][53][54],Sources:[51][52][53][54],Sources:[51][52][53][54]
