Round,Grand Prix,Circuit,Race date
1,Australian Grand Prix,"Albert Park Circuit, Melbourne",8 March
2,Chinese Grand Prix,"Shanghai International Circuit, Shanghai",15 March
3,Japanese Grand Prix,"Suzuka Circuit, Suzuka",29 March
4,Bahrain Grand Prix,"Bahrain International Circuit, Sakhir",12 April
5,Saudi Arabian Grand Prix,"Jeddah Corniche Circuit, Jeddah",19 April
6,Miami Grand Prix,"Miami International Autodrome, Miami Gardens, Florida",3 May
7,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",24 May
8,Monaco Grand Prix,"Circuit de Monaco, Monaco",7 June
9,Barcelona-Catalunya Grand Prix,"Circuit de Barcelona-Catalunya, Montmeló",14 June
10,Austrian Grand Prix,"Red Bull Ring, Spielberg",28 June
11,British Grand Prix,"Silverstone Circuit, Silverstone",5 July
12,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",19 July
13,Hungarian Grand Prix,"Hungaroring, Mogyoród",26 July
14,Dutch Grand Prix,"Circuit Zandvoort, Zandvoort",23 August
15,Italian Grand Prix,"Monza Circuit, Monza",6 September
16,Spanish Grand Prix,"Madring, Madrid",13 September
17,Azerbaijan Grand Prix,"Baku City Circuit, Baku",26 September[a][b]
18,Singapore Grand Prix,"Marina Bay Street Circuit, Singapore",11 October
19,United States Grand Prix,"Circuit of the Americas, Austin, Texas",25 October
20,Mexico City Grand Prix,"Autódromo Hermanos Rodríguez, Mexico City",1 November
21,São Paulo Grand Prix,"Interlagos Circuit, São Paulo",8 November
22,Las Vegas Grand Prix,"Las Vegas Strip Circuit, Paradise, Nevada",21 November[a]
23,Qatar Grand Prix,"Lusail International Circuit, Lusail",29 November
24,Abu Dhabi Grand Prix,"Yas Marina Circuit, Abu Dhabi",6 December
Source:[46],Source:[46],Source:[46],Source:[46]
