Round,Grand Prix,Circuit,Date
1,Brazilian Grand Prix,"Autodromo de Interlagos, São Paulo",25 January
2,South African Grand Prix,"Kyalami Grand Prix Circuit, Midrand",6 March
3,United States Grand Prix West,"Long Beach Street Circuit, Los Angeles, California",28 March
4,Spanish Grand Prix,"Circuito Permanente Del Jarama, Madrid",2 May
5,Belgian Grand Prix,"Circuit Zolder, Heusden-Zolder",16 May
6,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",30 May
7,Swedish Grand Prix,"Scandinavian Raceway, Anderstorp",13 June
8,French Grand Prix,"Circuit Paul Ricard, Le Castellet",4 July
9,British Grand Prix,"Brands Hatch, Kent",18 July
10,German Grand Prix,"Nürburgring, Nürburg",1 August
11,Austrian Grand Prix,"Österreichring, Spielberg",15 August
12,Dutch Grand Prix,"Circuit Zandvoort, Zandvoort",29 August
13,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",12 September
14,Canadian Grand Prix,"Mosport Park, Bowmanville, Ontario",3 October
15,United States Grand Prix,"Watkins Glen Grand Prix Course, New York",10 October
16,Japanese Grand Prix,"Fuji Speedway, Oyama, Shizuoka",24 October
