Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Report
1,Brazilian Grand Prix,James Hunt,Jean-Pierre Jarier,Niki Lauda,Ferrari,Report
2,South African Grand Prix,James Hunt,Niki Lauda,Niki Lauda,Ferrari,Report
3,United States Grand Prix West,Clay Regazzoni,Clay Regazzoni,Clay Regazzoni,Ferrari,Report
4,Spanish Grand Prix,James Hunt,Jochen Mass,James Hunt,McLaren-Ford,Report
5,Belgian Grand Prix,Niki Lauda,Niki Lauda,Niki Lauda,Ferrari,Report
6,Monaco Grand Prix,Niki Lauda,Clay Regazzoni,Niki Lauda,Ferrari,Report
7,Swedish Grand Prix,Jody Scheckter,Mario Andretti,Jody Scheckter,Tyrrell-Ford,Report
8,French Grand Prix,James Hunt,Niki Lauda,James Hunt,McLaren-Ford,Report
9,British Grand Prix,Niki Lauda,Niki Lauda,Niki Lauda[b],Ferrari,Report
10,German Grand Prix,James Hunt,Jody Scheckter,James Hunt,McLaren-Ford,Report
11,Austrian Grand Prix,James Hunt,James Hunt,John Watson,Penske-Ford,Report
12,Dutch Grand Prix,Ronnie Peterson,Clay Regazzoni,James Hunt,McLaren-Ford,Report
13,Italian Grand Prix,Jacques Laffite,Ronnie Peterson,Ronnie Peterson,March-Ford,Report
14,Canadian Grand Prix,James Hunt,Patrick Depailler,James Hunt,McLaren-Ford,Report
15,United States Grand Prix,James Hunt,James Hunt,James Hunt,McLaren-Ford,Report
16,Japanese Grand Prix,Mario Andretti,Jacques Laffite[18][19],Mario Andretti,Lotus-Ford,Report
