Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Report
1,Argentine Grand Prix,Mario Andretti,Gilles Villeneuve,Mario Andretti,Lotus-Ford,Report
2,Brazilian Grand Prix,Ronnie Peterson,Carlos Reutemann,Carlos Reutemann,Ferrari,Report
3,South African Grand Prix,Niki Lauda,Mario Andretti,Ronnie Peterson,Lotus-Ford,Report
4,United States Grand Prix West,Carlos Reutemann,Alan Jones,Carlos Reutemann,Ferrari,Report
5,Monaco Grand Prix,Carlos Reutemann,Niki Lauda,Patrick Depailler,Tyrrell-Ford,Report
6,Belgian Grand Prix,Mario Andretti,Ronnie Peterson,Mario Andretti,Lotus-Ford,Report
7,Spanish Grand Prix,Mario Andretti,Mario Andretti,Mario Andretti,Lotus-Ford,Report
8,Swedish Grand Prix,Mario Andretti,Niki Lauda,Niki Lauda,Brabham-Alfa Romeo,Report
9,French Grand Prix,John Watson,Carlos Reutemann,Mario Andretti,Lotus-Ford,Report
10,British Grand Prix,Ronnie Peterson,Niki Lauda,Carlos Reutemann,Ferrari,Report
11,German Grand Prix,Mario Andretti,Ronnie Peterson,Mario Andretti,Lotus-Ford,Report
12,Austrian Grand Prix,Ronnie Peterson,Ronnie Peterson,Ronnie Peterson,Lotus-Ford,Report
13,Dutch Grand Prix,Mario Andretti,Niki Lauda,Mario Andretti,Lotus-Ford,Report
14,Italian Grand Prix,Mario Andretti,Mario Andretti,Niki Lauda,Brabham-Alfa Romeo,Report
15,United States Grand Prix,Mario Andretti,Jean-Pierre Jarier,Carlos Reutemann,Ferrari,Report
16,Canadian Grand Prix,Jean-Pierre Jarier,Alan Jones,Gilles Villeneuve,Ferrari,Report
