Round,Grand Prix,Circuit,Date
1,Argentine Grand Prix,"Autódromo Oscar Alfredo Gálvez, Buenos Aires",15 January
2,Brazilian Grand Prix,"Jacarepaguá, Rio de Janeiro",29 January
3,South African Grand Prix,"Kyalami Grand Prix Circuit, Midrand",4 March
4,United States Grand Prix West,"Long Beach Street Circuit, California",2 April
5,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",7 May
6,Belgian Grand Prix,"Zolder, Heusden-Zolder",21 May
7,Spanish Grand Prix,"Circuito Permanente Del Jarama, Madrid",4 June
8,Swedish Grand Prix,"Scandinavian Raceway, Anderstorp",17 June
9,French Grand Prix,"Paul Ricard Circuit, Le Castellet",2 July
10,British Grand Prix,"Brands Hatch, Kent",16 July
11,German Grand Prix,"Hockenheimring, Hockenheim",30 July
12,Austrian Grand Prix,"Österreichring, Spielberg",13 August
13,Dutch Grand Prix,"Circuit Zandvoort, Zandvoort",27 August
14,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",10 September
15,United States Grand Prix,"Watkins Glen Grand Prix Course, New York",1 October
16,Canadian Grand Prix,"Île Notre-Dame Circuit, Montréal",8 October
