Pos,Constructor,ARG,BRA,RSA,USW,MON,BEL,ESP,SWE,Unnamed: 10,FRA,GBR,GER,AUT,NED,ITA,USA,CAN,Pts[20]
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,Lotus-Ford,1,4,1,2,11,1,1,3,1,Ret,1,1,1,6,15,10,86,
2,Ferrari,7,1,Ret,1,8,3,10,9,12,1,8,3,6,3,1,1,58,
3,Brabham-Alfa Romeo,2,3,3,Ret,2,Ret,5,1,4,2,7,7,3,1,Ret,11,53,
4,Tyrrell-Ford,3,6,2,3,1,6,12,Ret,10,4,5,2,Ret,11,10,5,38,
5,Wolf-Ford,10,Ret,Ret,Ret,3,Ret,4,Ret,6,Ret,2,NC,12,12,3,2,24,
6,Ligier-Matra,16,9,5,5,Ret,5,3,7,7,10,3,5,8,4,11,Ret,19,
7,Fittipaldi-Ford,9,2,Ret,8,9,Ret,Ret,6,Ret,Ret,4,4,5,8,5,Ret,17,
8,McLaren-Ford,4,Ret,11,12,7,7,6,4,3,6,Ret,8,9,5,6,8,15,
9,Williams-Ford,Ret,11,4,7,Ret,10,8,Ret,5,Ret,Ret,Ret,Ret,13,2,9,11,
=[21],Arrows-Ford,,10,9,6,6,Ret,14,2,8,Ret,9,Ret,Ret,Ret,16,4,11,
11,Shadow-Ford,15,5,DNQ,10,Ret,Ret,15,5,11,5,Ret,NC,Ret,NC,14,Ret,6,
12,Renault,,,Ret,Ret,10,NC,13,Ret,Ret,Ret,Ret,Ret,Ret,Ret,4,12,3,
13,Surtees-Ford,18,Ret,12,Ret,Ret,13,7,Ret,17,9,Ret,6,DSQ,Ret,9,Ret,1,
=[22],Ensign-Ford,Ret,Ret,DNQ,DNQ,Ret,12,Ret,DNQ,DNQ,Ret,11,Ret,Ret,10,8,6,1,
—,ATS-Ford,11,7,8,11,DNQ,11,9,13,13,NC,Ret,DNQ,DNQ,DNQ,Ret,NC,0,
—,Martini-Ford,,,DNQ,,DNPQ,9,WD,,14,WD,DNPQ,9,Ret,,,,0,
—,Merzario-Ford,Ret,DNQ,Ret,Ret,DNPQ,DNPQ,DNQ,NC,DNQ,Ret,DNQ,DNQ,Ret,Ret,Ret,DNQ,0,
—,Theodore-Ford,DNQ,DNQ,Ret,DNPQ,DNPQ,DNQ,DNPQ,,,,,,,,,,0,
—,Hesketh-Ford,DNQ,DNQ,Ret,DNPQ,DNPQ,DNQ,,,,,,,,,,,0,
—,March-Ford,,,,,,DNP,,,,,,,,,,,0,
Pos,Constructor,ARG,BRA,RSA,USW,MON,BEL,ESP,SWE,FRA,GBR,GER,AUT,NED,ITA,USA,CAN,Pts,
