0,1,2,3,4,5,6,7,8,9,10
—,Michael May,Ret,,,11,,DNS,,,0
—,Ian Burgess,,DNS,DNS,14,14,12,,,0
—,Renato Pirocchi,,,,,,,12,,0
—,Trevor Taylor,,13,,,,,,,0
—,Tony Marsh,,,DNS,,Ret,15,,,0
—,Keith Greene,,,,,15,,,,0
—,Gerry Ashmore,,,,,Ret,16,Ret,,0
—,Wolfgang Seidel,,,DNS,,17,Ret,Ret,,0
—,Bernard Collomb,,,,Ret,,NC,,,0
—,Lucien Bianchi,DNQ,,Ret,Ret,Ret,,,,0
—,Willy Mairesse,,,Ret,Ret,,Ret,,,0
—,Jack Fairman,,,,,DSQ,,Ret,,0
—,Giorgio Scarlatti,,,,Ret,,,,,0
—,Massimo Natili,,,,,Ret,,,,0
—,Ricardo Rodríguez,,,,,,,Ret,,0
—,Gaetano Starrabba,,,,,,,Ret,,0
—,Nino Vaccarella,,,,,,,Ret,,0
—,Roberto Bussinello,,,,,,,Ret,,0
—,Brian Naylor,,,,,,,Ret,,0
—,Roberto Lippi,,,,,,,Ret,,0
—,Jim Hall,,,,,,,,Ret,0
—,Lloyd Ruby,,,,,,,,Ret,0
—,Walt Hansgen,,,,,,,,Ret,0
—,André Pilette,,,,,,,DNQ,,0
Pos.,Driver,MON,NED,BEL,FRA,GBR,GER,ITA,USA,Pts
Key,Key,,,,,,,,,
Colour,Result,,,,,,,,,
Gold,Winner,,,,,,,,,
Silver,Second place,,,,,,,,,
Bronze,Third place,,,,,,,,,
Green,Other points position,,,,,,,,,
Blue,Other classified position,,,,,,,,,
Blue,"Not classified, finished (NC)",,,,,,,,,
Purple,"Not classified, retired (Ret)",,,,,,,,,
Red,Did not qualify (DNQ),,,,,,,,,
Black,Disqualified (DSQ),,,,,,,,,
White,Did not start (DNS),,,,,,,,,
White,Race cancelled (C),,,,,,,,,
Blank,Did not practice (DNP),,,,,,,,,
Blank,Excluded (EX),,,,,,,,,
Blank,Did not arrive (DNA),,,,,,,,,
Blank,Withdrawn (WD),,,,,,,,,
Blank,Did not enter (empty cell),,,,,,,,,
Annotation,Meaning,,,,,,,,,
P,Pole position,,,,,,,,,
F,Fastest lap,,,,,,,,,
