Pos.,Manufacturer,MON,NED,BEL,FRA,GBR,GER,ITA,USA,Pts.
1,Ferrari,(2),1,1,1,1,(2),1,WD,40 (52)
2,Lotus-Climax,1,3,8,3,10,1,10,1,32
3,Porsche,5,10,(6),2,5,7,2,2,22 (23)
4,Cooper-Climax,(6),(6),5,5,4,(5),3,4,14 (18)
5,BRM-Climax,13,8,13,6,9,Ret,5,3,7
—,Cooper-Maserati,7,,Ret,13,12,Ret,8,,0
—,Gilby-Climax,,,,,15,,,,0
—,Ferguson-Climax,,,,,DSQ,,,,0
—,De Tomaso-OSCA,,,,Ret,,,Ret,,0
—,Lotus-Maserati,,,,,,,Ret,,0
—,De Tomaso-Alfa Romeo,,,,,,WD,Ret,,0
—,JBW-Climax,,,,WD,,,Ret,,0
—,Emeryson-Maserati,DNQ,,,,WD,,,,0
—,Emeryson-Climax,,,,,,,DNQ,,0
Pos.,Manufacturer,MON,NED,BEL,FRA,GBR,GER,ITA,USA,Pts
