Round,Grand Prix,Circuit,Date
1,Australian Grand Prix,"Albert Park Circuit, Melbourne",16 March
2,Malaysian Grand Prix,"Sepang International Circuit, Kuala Lumpur",30 March
3,Bahrain Grand Prix,"Bahrain International Circuit, Sakhir",6 April
4,Chinese Grand Prix,"Shanghai International Circuit, Shanghai",20 April
5,Spanish Grand Prix,"Circuit de Barcelona-Catalunya, Montmeló",11 May
6,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",25 May
7,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",8 June
8,Austrian Grand Prix,"Red Bull Ring, Spielberg",22 June
9,British Grand Prix,"Silverstone Circuit, Silverstone",6 July
10,German Grand Prix,"Hockenheimring, Hockenheim",20 July
11,Hungarian Grand Prix,"Hungaroring, Mogyoród",27 July
12,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",24 August
13,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",7 September
14,Singapore Grand Prix,"Marina Bay Street Circuit, Singapore",21 September
15,Japanese Grand Prix,"Suzuka Circuit, Suzuka",5 October
16,Russian Grand Prix,"Sochi Autodrom, Sochi",12 October
17,United States Grand Prix,"Circuit of the Americas, Austin, Texas",2 November
18,Brazilian Grand Prix,"Autódromo José Carlos Pace, São Paulo",9 November
19,Abu Dhabi Grand Prix,"Yas Marina Circuit, Abu Dhabi",23 November
Sources:[90][91][92],Sources:[90][91][92],Sources:[90][91][92],Sources:[90][91][92]
