Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Report
1,Australian Grand Prix,Lewis Hamilton,Nico Rosberg,Nico Rosberg,Mercedes,Report
2,Malaysian Grand Prix,Lewis Hamilton,Lewis Hamilton,Lewis Hamilton,Mercedes,Report
3,Bahrain Grand Prix,Nico Rosberg,Nico Rosberg,Lewis Hamilton,Mercedes,Report
4,Chinese Grand Prix,Lewis Hamilton,Nico Rosberg,Lewis Hamilton,Mercedes,Report
5,Spanish Grand Prix,Lewis Hamilton,Sebastian Vettel,Lewis Hamilton,Mercedes,Report
6,Monaco Grand Prix,Nico Rosberg,Kimi Räikkönen,Nico Rosberg,Mercedes,Report
7,Canadian Grand Prix,Nico Rosberg,Felipe Massa,Daniel Ricciardo,Red Bull Racing-Renault,Report
8,Austrian Grand Prix,Felipe Massa,Sergio Pérez,Nico Rosberg,Mercedes,Report
9,British Grand Prix,Nico Rosberg,Lewis Hamilton,Lewis Hamilton,Mercedes,Report
10,German Grand Prix,Nico Rosberg,Lewis Hamilton,Nico Rosberg,Mercedes,Report
11,Hungarian Grand Prix,Nico Rosberg,Nico Rosberg,Daniel Ricciardo,Red Bull Racing-Renault,Report
12,Belgian Grand Prix,Nico Rosberg,Nico Rosberg,Daniel Ricciardo,Red Bull Racing-Renault,Report
13,Italian Grand Prix,Lewis Hamilton,Lewis Hamilton,Lewis Hamilton,Mercedes,Report
14,Singapore Grand Prix,Lewis Hamilton,Lewis Hamilton,Lewis Hamilton,Mercedes,Report
15,Japanese Grand Prix,Nico Rosberg,Lewis Hamilton,Lewis Hamilton,Mercedes,Report
16,Russian Grand Prix,Lewis Hamilton,Valtteri Bottas,Lewis Hamilton,Mercedes,Report
17,United States Grand Prix,Nico Rosberg,Sebastian Vettel,Lewis Hamilton,Mercedes,Report
18,Brazilian Grand Prix,Nico Rosberg,Lewis Hamilton,Nico Rosberg,Mercedes,Report
19,Abu Dhabi Grand Prix,Nico Rosberg,Daniel Ricciardo,Lewis Hamilton,Mercedes,Report
Source:[154],Source:[154],Source:[154],Source:[154],Source:[154],Source:[154],Source:[154]
