Round,Grand Prix,Circuit,Date
1,Australian Grand Prix,"Albert Park Circuit, Melbourne",12 March
2,Brazilian Grand Prix,"Autódromo José Carlos Pace, São Paulo",26 March
3,San Marino Grand Prix,"Autodromo Enzo e Dino Ferrari, Imola",9 April
4,British Grand Prix,"Silverstone Circuit, Silverstone",23 April
5,Spanish Grand Prix,"Circuit de Catalunya, Montmeló",7 May
6,European Grand Prix,"Nürburgring, Nürburg",21 May
7,Monaco Grand Prix,"Circuit de Monaco, Monaco",4 June
8,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",18 June
9,French Grand Prix,"Circuit de Nevers Magny-Cours, Magny-Cours",2 July
10,Austrian Grand Prix,"A1-Ring, Spielberg",16 July
11,German Grand Prix,"Hockenheimring, Hockenheim",30 July
12,Hungarian Grand Prix,"Hungaroring, Mogyoród",13 August
13,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",27 August
14,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",10 September
15,United States Grand Prix,"Indianapolis Motor Speedway, Speedway",24 September
16,Japanese Grand Prix,"Suzuka Circuit, Suzuka",8 October
17,Malaysian Grand Prix,"Sepang International Circuit, Sepang",22 October
Sources:[8][9],Sources:[8][9],Sources:[8][9],Sources:[8][9]
