Round,Grand Prix,Circuit,Date
1,Australian Grand Prix,"Albert Park Circuit, Melbourne",25 March
2,Bahrain Grand Prix,"Bahrain International Circuit, Sakhir",8 April
3,Chinese Grand Prix,"Shanghai International Circuit, Shanghai",15 April
4,Azerbaijan Grand Prix,"Baku City Circuit, Baku",29 April
5,Spanish Grand Prix,"Circuit de Barcelona-Catalunya, Montmeló",13 May
6,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",27 May
7,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",10 June
8,French Grand Prix,"Circuit Paul Ricard, Le Castellet",24 June
9,Austrian Grand Prix,"Red Bull Ring, Spielberg",1 July
10,British Grand Prix,"Silverstone Circuit, Silverstone",8 July
11,German Grand Prix,"Hockenheimring, Hockenheim",22 July
12,Hungarian Grand Prix,"Hungaroring, Mogyoród",29 July
13,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",26 August
14,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",2 September
15,Singapore Grand Prix,"Marina Bay Street Circuit, Singapore",16 September
16,Russian Grand Prix,"Sochi Autodrom, Sochi",30 September
17,Japanese Grand Prix,"Suzuka International Racing Course, Suzuka",7 October
18,United States Grand Prix,"Circuit of the Americas, Austin, Texas",21 October
19,Mexican Grand Prix,"Autódromo Hermanos Rodríguez, Mexico City",28 October
20,Brazilian Grand Prix,"Autódromo José Carlos Pace, São Paulo",11 November
21,Abu Dhabi Grand Prix,"Yas Marina Circuit, Abu Dhabi",25 November
Source:[35],Source:[35],Source:[35],Source:[35]
