Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Report
1,Australian Grand Prix,Lewis Hamilton,Daniel Ricciardo,Sebastian Vettel,Ferrari,Report
2,Bahrain Grand Prix,Sebastian Vettel,Valtteri Bottas,Sebastian Vettel,Ferrari,Report
3,Chinese Grand Prix,Sebastian Vettel,Daniel Ricciardo,Daniel Ricciardo,Red Bull Racing-TAG Heuer,Report
4,Azerbaijan Grand Prix,Sebastian Vettel,Valtteri Bottas,Lewis Hamilton,Mercedes,Report
5,Spanish Grand Prix,Lewis Hamilton,Daniel Ricciardo,Lewis Hamilton,Mercedes,Report
6,Monaco Grand Prix,Daniel Ricciardo,Max Verstappen,Daniel Ricciardo,Red Bull Racing-TAG Heuer,Report
7,Canadian Grand Prix,Sebastian Vettel,Max Verstappen[c],Sebastian Vettel,Ferrari,Report
8,French Grand Prix,Lewis Hamilton,Valtteri Bottas,Lewis Hamilton,Mercedes,Report
9,Austrian Grand Prix,Valtteri Bottas,Kimi Räikkönen,Max Verstappen,Red Bull Racing-TAG Heuer,Report
10,British Grand Prix,Lewis Hamilton,Sebastian Vettel,Sebastian Vettel,Ferrari,Report
11,German Grand Prix,Sebastian Vettel,Lewis Hamilton,Lewis Hamilton,Mercedes,Report
12,Hungarian Grand Prix,Lewis Hamilton,Daniel Ricciardo,Lewis Hamilton,Mercedes,Report
13,Belgian Grand Prix,Lewis Hamilton,Valtteri Bottas,Sebastian Vettel,Ferrari,Report
14,Italian Grand Prix,Kimi Räikkönen,Lewis Hamilton,Lewis Hamilton,Mercedes,Report
15,Singapore Grand Prix,Lewis Hamilton,Kevin Magnussen,Lewis Hamilton,Mercedes,Report
16,Russian Grand Prix,Valtteri Bottas,Valtteri Bottas,Lewis Hamilton,Mercedes,Report
17,Japanese Grand Prix,Lewis Hamilton,Sebastian Vettel,Lewis Hamilton,Mercedes,Report
18,United States Grand Prix,Lewis Hamilton,Lewis Hamilton,Kimi Räikkönen,Ferrari,Report
19,Mexican Grand Prix,Daniel Ricciardo,Valtteri Bottas,Max Verstappen,Red Bull Racing-TAG Heuer,Report
20,Brazilian Grand Prix,Lewis Hamilton,Valtteri Bottas,Lewis Hamilton,Mercedes,Report
21,Abu Dhabi Grand Prix,Lewis Hamilton,Sebastian Vettel,Lewis Hamilton,Mercedes,Report
Source:[112],Source:[112],Source:[112],Source:[112],Source:[112],Source:[112],Source:[112]
