Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Report
1,United States Grand Prix,Ayrton Senna,Jean Alesi,Ayrton Senna,McLaren-Honda,Report
2,Brazilian Grand Prix,Ayrton Senna,Nigel Mansell,Ayrton Senna,McLaren-Honda,Report
3,San Marino Grand Prix,Ayrton Senna,Gerhard Berger,Ayrton Senna,McLaren-Honda,Report
4,Monaco Grand Prix,Ayrton Senna,Alain Prost,Ayrton Senna,McLaren-Honda,Report
5,Canadian Grand Prix,Riccardo Patrese,Nigel Mansell,Nelson Piquet,Benetton-Ford,Report
6,Mexican Grand Prix,Riccardo Patrese,Nigel Mansell,Riccardo Patrese,Williams-Renault,Report
7,French Grand Prix,Riccardo Patrese,Nigel Mansell,Nigel Mansell,Williams-Renault,Report
8,British Grand Prix,Nigel Mansell,Nigel Mansell,Nigel Mansell,Williams-Renault,Report
9,German Grand Prix,Nigel Mansell,Riccardo Patrese,Nigel Mansell,Williams-Renault,Report
10,Hungarian Grand Prix,Ayrton Senna,Bertrand Gachot,Ayrton Senna,McLaren-Honda,Report
11,Belgian Grand Prix,Ayrton Senna,Roberto Moreno,Ayrton Senna,McLaren-Honda,Report
12,Italian Grand Prix,Ayrton Senna,Ayrton Senna,Nigel Mansell,Williams-Renault,Report
13,Portuguese Grand Prix,Riccardo Patrese,Nigel Mansell,Riccardo Patrese,Williams-Renault,Report
14,Spanish Grand Prix,Gerhard Berger,Riccardo Patrese,Nigel Mansell,Williams-Renault,Report
15,Japanese Grand Prix,Gerhard Berger,Ayrton Senna,Gerhard Berger,McLaren-Honda,Report
16,Australian Grand Prix,Ayrton Senna,Gerhard Berger,Ayrton Senna,McLaren-Honda,Report
Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16]
