Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Report
1,Australian Grand Prix,Lewis Hamilton,Lewis Hamilton,Lewis Hamilton,Mercedes,Report
2,Malaysian Grand Prix,Lewis Hamilton,Nico Rosberg,Sebastian Vettel,Ferrari,Report
3,Chinese Grand Prix,Lewis Hamilton,Lewis Hamilton,Lewis Hamilton,Mercedes,Report
4,Bahrain Grand Prix,Lewis Hamilton,Kimi Räikkönen,Lewis Hamilton,Mercedes,Report
5,Spanish Grand Prix,Nico Rosberg,Lewis Hamilton,Nico Rosberg,Mercedes,Report
6,Monaco Grand Prix,Lewis Hamilton,Daniel Ricciardo,Nico Rosberg,Mercedes,Report
7,Canadian Grand Prix,Lewis Hamilton,Kimi Räikkönen,Lewis Hamilton,Mercedes,Report
8,Austrian Grand Prix,Lewis Hamilton,Nico Rosberg,Nico Rosberg,Mercedes,Report
9,British Grand Prix,Lewis Hamilton,Lewis Hamilton,Lewis Hamilton,Mercedes,Report
10,Hungarian Grand Prix,Lewis Hamilton,Daniel Ricciardo,Sebastian Vettel,Ferrari,Report
11,Belgian Grand Prix,Lewis Hamilton,Nico Rosberg,Lewis Hamilton,Mercedes,Report
12,Italian Grand Prix,Lewis Hamilton,Lewis Hamilton,Lewis Hamilton,Mercedes,Report
13,Singapore Grand Prix,Sebastian Vettel,Daniel Ricciardo,Sebastian Vettel,Ferrari,Report
14,Japanese Grand Prix,Nico Rosberg,Lewis Hamilton,Lewis Hamilton,Mercedes,Report
15,Russian Grand Prix,Nico Rosberg,Sebastian Vettel,Lewis Hamilton,Mercedes,Report
16,United States Grand Prix,Nico Rosberg,Nico Rosberg,Lewis Hamilton,Mercedes,Report
17,Mexican Grand Prix,Nico Rosberg,Nico Rosberg,Nico Rosberg,Mercedes,Report
18,Brazilian Grand Prix,Nico Rosberg,Lewis Hamilton,Nico Rosberg,Mercedes,Report
19,Abu Dhabi Grand Prix,Nico Rosberg,Lewis Hamilton,Nico Rosberg,Mercedes,Report
Sources:[145][146][147],Sources:[145][146][147],Sources:[145][146][147],Sources:[145][146][147],Sources:[145][146][147],Sources:[145][146][147],Sources:[145][146][147]
