Round,Grand Prix,Circuit,Race date
1,Bahrain Grand Prix,"Bahrain International Circuit, Sakhir",2 March[e]
2,Saudi Arabian Grand Prix,"Jeddah Corniche Circuit, Jeddah",9 March[e]
3,Australian Grand Prix,"Albert Park Circuit, Melbourne",24 March
4,Japanese Grand Prix,"Suzuka International Racing Course, Suzuka",7 April
5,Chinese Grand Prix,"Shanghai International Circuit, Shanghai",21 April
6,Miami Grand Prix,"Miami International Autodrome, Miami Gardens, Florida",5 May
7,Emilia Romagna Grand Prix,"Imola Circuit, Imola",19 May
8,Monaco Grand Prix,"Circuit de Monaco, Monaco",26 May
9,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",9 June
10,Spanish Grand Prix,"Circuit de Barcelona-Catalunya, Montmeló",23 June
11,Austrian Grand Prix,"Red Bull Ring, Spielberg",30 June
12,British Grand Prix,"Silverstone Circuit, Silverstone",7 July
13,Hungarian Grand Prix,"Hungaroring, Mogyoród",21 July
14,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",28 July
15,Dutch Grand Prix,"Circuit Zandvoort, Zandvoort",25 August
16,Italian Grand Prix,"Monza Circuit, Monza",1 September
17,Azerbaijan Grand Prix,"Baku City Circuit, Baku",15 September
18,Singapore Grand Prix,"Marina Bay Street Circuit, Singapore",22 September
19,United States Grand Prix,"Circuit of the Americas, Austin, Texas",20 October
20,Mexico City Grand Prix,"Autódromo Hermanos Rodríguez, Mexico City",27 October
21,São Paulo Grand Prix,"Interlagos Circuit, São Paulo",3 November
22,Las Vegas Grand Prix,"Las Vegas Strip Circuit, Paradise, Nevada",23 November[e]
23,Qatar Grand Prix,"Lusail International Circuit, Lusail",1 December
24,Abu Dhabi Grand Prix,"Yas Marina Circuit, Abu Dhabi",8 December
Sources:[54][56],Sources:[54][56],Sources:[54][56],Sources:[54][56]
