Round,Grand Prix,Circuit,Date
1,Brazilian Grand Prix,"Jacarepaguá, Rio de Janeiro",13 March
2,United States Grand Prix West,"Long Beach Street Circuit, California",27 March
3,French Grand Prix,"Circuit Paul Ricard, Le Castellet",17 April
4,San Marino Grand Prix,"Autodromo Dino Ferrari, Imola",1 May
5,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",15 May
6,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",22 May
7,Detroit Grand Prix,"Detroit Street Circuit, Michigan",5 June
8,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",12 June
9,British Grand Prix,"Silverstone Circuit, Silverstone",16 July
10,German Grand Prix,"Hockenheimring, Hockenheim",7 August
11,Austrian Grand Prix,"Österreichring, Spielberg",14 August
12,Dutch Grand Prix,"Circuit Park Zandvoort, Zandvoort",28 August
13,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",11 September
14,European Grand Prix,"Brands Hatch, West Kingsdown",25 September
15,South African Grand Prix,"Kyalami Grand Prix Circuit, Midrand",15 October
