Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Report
1,Brazilian Grand Prix,Keke Rosberg,Nelson Piquet,Nelson Piquet,Brabham-BMW,Report
2,United States Grand Prix West,Patrick Tambay,Niki Lauda,John Watson,McLaren-Ford,Report
3,French Grand Prix,Alain Prost,Alain Prost,Alain Prost,Renault,Report
4,San Marino Grand Prix,René Arnoux,Riccardo Patrese,Patrick Tambay,Ferrari,Report
5,Monaco Grand Prix,Alain Prost,Nelson Piquet,Keke Rosberg,Williams-Ford,Report
6,Belgian Grand Prix,Alain Prost,Andrea de Cesaris,Alain Prost,Renault,Report
7,Detroit Grand Prix,René Arnoux,John Watson,Michele Alboreto,Tyrrell-Ford,Report
8,Canadian Grand Prix,René Arnoux,Patrick Tambay,René Arnoux,Ferrari,Report
9,British Grand Prix,René Arnoux,Alain Prost,Alain Prost,Renault,Report
10,German Grand Prix,Patrick Tambay,René Arnoux,René Arnoux,Ferrari,Report
11,Austrian Grand Prix,Patrick Tambay,Alain Prost,Alain Prost,Renault,Report
12,Dutch Grand Prix,Nelson Piquet,René Arnoux,René Arnoux,Ferrari,Report
13,Italian Grand Prix,Riccardo Patrese,Nelson Piquet,Nelson Piquet,Brabham-BMW,Report
14,European Grand Prix,Elio de Angelis,Nigel Mansell,Nelson Piquet,Brabham-BMW,Report
15,South African Grand Prix,Patrick Tambay,Nelson Piquet,Riccardo Patrese,Brabham-BMW,Report
