Round,Grand Prix,Circuit,Date
1,Australian Grand Prix,"Albert Park Circuit, Melbourne",27 March
2,Malaysian Grand Prix,"Sepang International Circuit, Kuala Lumpur",10 April
3,Chinese Grand Prix,"Shanghai International Circuit, Shanghai",17 April
4,Turkish Grand Prix,"Istanbul Park, Istanbul",8 May
5,Spanish Grand Prix,"Circuit de Catalunya, Montmeló",22 May
6,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",29 May
7,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",12 June
8,European Grand Prix,"Valencia Street Circuit, Valencia",26 June
9,British Grand Prix,"Silverstone Circuit, Silverstone",10 July
10,German Grand Prix,"Nürburgring, Nürburg",24 July
11,Hungarian Grand Prix,"Hungaroring, Mogyoród",31 July
12,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",28 August
13,Italian Grand Prix,"Autodromo Nazionale Monza, Monza",11 September
14,Singapore Grand Prix,"Marina Bay Street Circuit, Singapore",25 September
15,Japanese Grand Prix,"Suzuka Circuit, Suzuka",9 October
16,Korean Grand Prix,"Korea International Circuit, Yeongam",16 October
17,Indian Grand Prix,"Buddh International Circuit, Greater Noida",30 October
18,Abu Dhabi Grand Prix,"Yas Marina Circuit, Abu Dhabi",13 November
19,Brazilian Grand Prix,"Autódromo José Carlos Pace, São Paulo",27 November
Source:[94],Source:[94],Source:[94],Source:[94]
