Round,Grand Prix,Circuit,Date
1,Brazilian Grand Prix,"Autódromo José Carlos Pace, São Paulo",26 March
2,Argentine Grand Prix,"Autódromo Oscar Alfredo Gálvez, Buenos Aires",9 April
3,San Marino Grand Prix,"Autodromo Enzo e Dino Ferrari, Imola",30 April
4,Spanish Grand Prix,"Circuit de Barcelona-Catalunya, Montmeló",14 May
5,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",28 May
6,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",11 June
7,French Grand Prix,"Circuit de Nevers Magny-Cours, Magny-Cours",2 July
8,British Grand Prix,"Silverstone Circuit, Silverstone",16 July
9,German Grand Prix,"Hockenheimring, Hockenheim",30 July
10,Hungarian Grand Prix,"Hungaroring, Mogyoród",13 August
11,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",27 August
12,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",10 September
13,Portuguese Grand Prix,"Autódromo do Estoril, Estoril",24 September
14,European Grand Prix,"Nürburgring, Nürburg",1 October
15,Pacific Grand Prix,"TI Circuit, Aida",22 October[b]
16,Japanese Grand Prix,"Suzuka Circuit, Suzuka",29 October
17,Australian Grand Prix,"Adelaide Street Circuit, Adelaide",12 November
Sources:[27][28],Sources:[27][28],Sources:[27][28],Sources:[27][28]
