Round,Grand Prix,Circuit,Date
1,Bahrain Grand Prix,"Bahrain International Circuit, Sakhir",12 March
2,Malaysian Grand Prix,"Sepang International Circuit, Kuala Lumpur",19 March
3,Australian Grand Prix,"Albert Park Circuit, Melbourne",2 April
4,San Marino Grand Prix,"Autodromo Enzo e Dino Ferrari, Imola",23 April
5,European Grand Prix,"Nürburgring, Nürburg",7 May
6,Spanish Grand Prix,"Circuit de Catalunya, Montmeló",14 May
7,Monaco Grand Prix,"Circuit de Monaco, Monte-Carlo",28 May
8,British Grand Prix,"Silverstone Circuit, Silverstone",11 June
9,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",25 June
10,United States Grand Prix,"Indianapolis Motor Speedway, Speedway",2 July
11,French Grand Prix,"Circuit de Nevers Magny-Cours, Magny-Cours",16 July
12,German Grand Prix,"Hockenheimring, Hockenheim",30 July
13,Hungarian Grand Prix,"Hungaroring, Mogyoród",6 August
14,Turkish Grand Prix,"Istanbul Park, Istanbul",27 August
15,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",10 September
16,Chinese Grand Prix,"Shanghai International Circuit, Shanghai",1 October
17,Japanese Grand Prix,"Suzuka Circuit, Suzuka",8 October
18,Brazilian Grand Prix,"Autódromo José Carlos Pace, São Paulo",22 October
Sources:[17][18],Sources:[17][18],Sources:[17][18],Sources:[17][18]
