Round,Grand Prix,Circuit,Date
1,South African Grand Prix,"Prince George Circuit, East London",1 January
2,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",30 May
3,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",13 June
4,French Grand Prix,"Charade Circuit, Clermont-Ferrand",27 June
5,British Grand Prix,"Silverstone Circuit, Silverstone",10 July
6,Dutch Grand Prix,"Circuit Zandvoort, Zandvoort",18 July
7,German Grand Prix,"Nürburgring, Nürburg",1 August
8,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",12 September
9,United States Grand Prix,"Watkins Glen International, New York",3 October
10,Mexican Grand Prix,"Magdalena Mixhuca, Mexico City",24 October
