Pos.,Manufacturer,RSA,MON,BEL,FRA,GBR,NED,GER,ITA,USA,MEX,Pts.[a]
1,Lotus-Climax,1,10,1,1,1,1,1,10,12,(3),54 (58)
2,BRM,(3),1,2,2,2,(2),(2),1,1,Ret,45 (61)
3,Brabham-Climax,8,7,4,(4),(6),3,3,3,2,2,27 (31)
4,Ferrari,2,2,9,3,3,7,(6),4,4,7,26 (27)
5,Cooper-Climax,5,5,3,Ret,10,Ret,4,5,6,Ret,14
6,Honda,,Ret,6,Ret,Ret,6,,14,7,1,11
7,Brabham-BRM,7,6,8,6,8,11,Ret,Ret,11,4,5
8,Lotus-BRM,11,Ret,13,Ret,13,10,Ret,6,10,6,2
—,Brabham-Ford,9,,,,,,,,,,0
—,Alfa Special-Alfa Romeo,10,,,,,,,,,,0
—,LDS-Alfa Romeo,13,,,,,,,,,,0
—,Cooper-Ford,DNQ,,,,DNS,,,,,,0
—,LDS-Climax,DNQ,,,,,,,,,,0
—,Lotus-Ford,DNQ,,,,,,,,,,0
Pos.,Manufacturer,RSA,MON,BEL,FRA,GBR,NED,GER,ITA,USA,MEX,Pts.
