Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Tyre,Report
1,South African Grand Prix,Jim Clark,Jim Clark,Jim Clark,Lotus-Climax,D,Report
2,Monaco Grand Prix,Graham Hill,Graham Hill,Graham Hill,BRM,D,Report
3,Belgian Grand Prix,Graham Hill,Jim Clark,Jim Clark,Lotus-Climax,D,Report
4,French Grand Prix,Jim Clark,Jim Clark,Jim Clark,Lotus-Climax,D,Report
5,British Grand Prix,Jim Clark,Graham Hill,Jim Clark,Lotus-Climax,D,Report
6,Dutch Grand Prix,Graham Hill,Jim Clark,Jim Clark,Lotus-Climax,D,Report
7,German Grand Prix,Jim Clark,Jim Clark,Jim Clark,Lotus-Climax,D,Report
8,Italian Grand Prix,Jim Clark,Jim Clark,Jackie Stewart,BRM,D,Report
9,United States Grand Prix,Graham Hill,Graham Hill,Graham Hill,BRM,D,Report
10,Mexican Grand Prix,Jim Clark,Dan Gurney,Richie Ginther,Honda,G,Report
