0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Pos.,Driver,AUS,BRA,ARG,SMR,ESP,MON,CAN,FRA,GBR,AUT,GER,HUN,BEL,ITA,LUX,JPN,Points,
Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24]
Key,Key,,,,,,,,,,,,,,,,,,
Colour,Result,,,,,,,,,,,,,,,,,,
Gold,Winner,,,,,,,,,,,,,,,,,,
Silver,Second place,,,,,,,,,,,,,,,,,,
Bronze,Third place,,,,,,,,,,,,,,,,,,
Green,Other points position,,,,,,,,,,,,,,,,,,
Blue,Other classified position,,,,,,,,,,,,,,,,,,
Blue,"Not classified, finished (NC)",,,,,,,,,,,,,,,,,,
Purple,"Not classified, retired (Ret)",,,,,,,,,,,,,,,,,,
Red,Did not qualify (DNQ),,,,,,,,,,,,,,,,,,
Black,Disqualified (DSQ),,,,,,,,,,,,,,,,,,
White,Did not start (DNS),,,,,,,,,,,,,,,,,,
White,Race cancelled (C),,,,,,,,,,,,,,,,,,
Blank,Did not practice (DNP),,,,,,,,,,,,,,,,,,
Blank,Excluded (EX),,,,,,,,,,,,,,,,,,
Blank,Did not arrive (DNA),,,,,,,,,,,,,,,,,,
Blank,Withdrawn (WD),,,,,,,,,,,,,,,,,,
Blank,Did not enter (empty cell),,,,,,,,,,,,,,,,,,
Annotation,Meaning,,,,,,,,,,,,,,,,,,
P,Pole position,,,,,,,,,,,,,,,,,,
F,Fastest lap,,,,,,,,,,,,,,,,,,
