Pos.,Constructor,No.,AUS,BRA,ARG,SMR,ESP,MON,CAN,FRA,GBR,AUT,GER,HUN,BEL,ITA,LUX,JPN,Points
1,McLaren-Mercedes,7,2,2,6P,1P,2,Ret,RetP,6F,Ret,2F,2F,2,7,Ret,3,3,156
1,McLaren-Mercedes,8,1PF,1PF,2,Ret,1PF,1PF,Ret,3P,2P,1,1P,6P,RetP,4F,1F,1,156
2,Ferrari,3,Ret,3,1,2F,3,10,1F,1,1F,3,5,1F,RetF,1P,2P,RetPF,133
2,Ferrari,4,4,8,3,3,Ret,3,3,2,3,4,8,Ret,Ret,2,4,2,133
3,Williams-Mecachrome,1,5,7,Ret,4,6,5,10,4,7,6,3,3,Ret,Ret,8,6,38
3,Williams-Mecachrome,2,3,5,9,5,8,Ret,Ret,15†,Ret,Ret,9,5,4,7,5,5,38
4,Jordan-Mugen-Honda,9,8,DSQ,8,10†,Ret,8,Ret,Ret,Ret,7,4,4,1,6,9,4,34
4,Jordan-Mugen-Honda,10,Ret,Ret,Ret,7,11,Ret,Ret,16,6,5,6,9,2,3,Ret,Ret,34
5,Benetton-Playlife,5,Ret,6,7,Ret,Ret,2,2,9,5,RetP,7,8,Ret,8,6,8,33
5,Benetton-Playlife,6,7,4,4F,Ret,4,Ret,4,5,4,9,11,16†,Ret,Ret,7,9,33
6,Sauber-Petronas,14,Ret,9,5,6,10,12†,Ret,7,Ret,Ret,10,7,3,5,10,7,10
6,Sauber-Petronas,15,6,11†,Ret,Ret,7,7,Ret,8,Ret,8,Ret,10,Ret,Ret,Ret,10,10
7,Arrows,16,Ret,Ret,Ret,Ret,Ret,6,9,14,Ret,Ret,Ret,11,5,Ret,Ret,Ret,6
7,Arrows,17,Ret,Ret,Ret,9,Ret,4,Ret,13,Ret,Ret,14,Ret,DNS,Ret,14,Ret,6
8,Stewart-Ford,18,Ret,Ret,10,Ret,5,Ret,5,10,Ret,Ret,Ret,Ret,DNS,10,11,Ret,5
8,Stewart-Ford,19,Ret,10,Ret,Ret,12,Ret,6,12,Ret,Ret,Ret,13,Ret,Ret,13,Ret,5
9,Prost-Peugeot,11,9,Ret,15†,11†,16†,Ret,Ret,11,Ret,Ret,15,12,DNS,Ret,12,11,1
9,Prost-Peugeot,12,Ret,Ret,11,Ret,9,Ret,Ret,Ret,Ret,10,12,Ret,6,13,Ret,12†,1
10,Minardi-Ford,22,Ret,Ret,13,Ret,14,9,7,17†,8,11,Ret,15,8,Ret,15,Ret,0
10,Minardi-Ford,23,Ret,Ret,Ret,8,15,Ret,Ret,Ret,Ret,Ret,16,Ret,Ret,NC,Ret,Ret,0
11,Tyrrell-Ford,20,Ret,Ret,14,Ret,DNQ,DNQ,8,Ret,Ret,12,DNQ,DNQ,DNS,12,Ret,DNQ,0
11,Tyrrell-Ford,21,Ret,Ret,12,Ret,13,11,Ret,Ret,9,Ret,13,14,Ret,9,16,Ret,0
Pos.,Constructor,No.,AUS,BRA,ARG,SMR,ESP,MON,CAN,FRA,GBR,AUT,GER,HUN,BEL,ITA,LUX,JPN,Points
Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24],Source:[24]
