Round,Grand Prix,Circuit,Date
1,Australian Grand Prix,"Albert Park Circuit, Melbourne",8 March
2,Brazilian Grand Prix,"Autódromo José Carlos Pace, São Paulo",29 March
3,Argentine Grand Prix,"Autódromo Oscar Alfredo Gálvez, Buenos Aires",12 April
4,San Marino Grand Prix,"Autodromo Enzo e Dino Ferrari, Imola",26 April
5,Spanish Grand Prix,"Circuit de Catalunya, Montmeló",10 May
6,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",24 May
7,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",7 June
8,French Grand Prix,"Circuit de Nevers Magny-Cours, Magny-Cours",28 June
9,British Grand Prix,"Silverstone Circuit, Silverstone",12 July
10,Austrian Grand Prix,"A1-Ring, Spielberg, Styria",26 July
11,German Grand Prix,"Hockenheimring, Hockenheim",2 August
12,Hungarian Grand Prix,"Hungaroring, Mogyoród",16 August
13,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",30 August
14,Italian Grand Prix,"Autodromo Nazionale Monza, Monza",13 September
15,Luxembourg Grand Prix,"Nürburgring, Nürburg",27 September
16,Japanese Grand Prix,"Suzuka Circuit, Suzuka",1 November
Source:[9],Source:[9],Source:[9],Source:[9]
