Round,Grand Prix,Circuit,Date
1,South African Grand Prix,"Kyalami Grand Prix Circuit, Midrand",14 March
2,Brazilian Grand Prix,"Autódromo José Carlos Pace, São Paulo",28 March
3,European Grand Prix,"Donington Park, Castle Donington",11 April
4,San Marino Grand Prix,"Autodromo Internazionale Enzo e Dino Ferrari, Imola",25 April
5,Spanish Grand Prix,"Circuit de Barcelona-Catalunya, Montmeló",9 May
6,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",23 May
7,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montréal",13 June
8,French Grand Prix,"Circuit de Nevers Magny-Cours, Magny-Cours",4 July
9,British Grand Prix,"Silverstone Circuit, Silverstone",11 July
10,German Grand Prix,"Hockenheimring, Hockenheim",25 July
11,Hungarian Grand Prix,"Hungaroring, Mogyoród",15 August
12,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",29 August
13,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",12 September
14,Portuguese Grand Prix,"Autódromo do Estoril, Estoril",26 September
15,Japanese Grand Prix,"Suzuka International Racing Course, Suzuka",24 October
16,Australian Grand Prix,"Adelaide Street Circuit, Adelaide",7 November
Sources:[2][3],Sources:[2][3],Sources:[2][3],Sources:[2][3]
