Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Report
1,South African Grand Prix,Alain Prost,Alain Prost,Alain Prost,Williams-Renault,Report
2,Brazilian Grand Prix,Alain Prost,Michael Schumacher,Ayrton Senna,McLaren-Ford,Report
3,European Grand Prix,Alain Prost,Ayrton Senna,Ayrton Senna,McLaren-Ford,Report
4,San Marino Grand Prix,Alain Prost,Alain Prost,Alain Prost,Williams-Renault,Report
5,Spanish Grand Prix,Alain Prost,Michael Schumacher,Alain Prost,Williams-Renault,Report
6,Monaco Grand Prix,Alain Prost,Alain Prost,Ayrton Senna,McLaren-Ford,Report
7,Canadian Grand Prix,Alain Prost,Michael Schumacher,Alain Prost,Williams-Renault,Report
8,French Grand Prix,Damon Hill,Michael Schumacher,Alain Prost,Williams-Renault,Report
9,British Grand Prix,Alain Prost,Damon Hill,Alain Prost,Williams-Renault,Report
10,German Grand Prix,Alain Prost,Michael Schumacher,Alain Prost,Williams-Renault,Report
11,Hungarian Grand Prix,Alain Prost,Alain Prost,Damon Hill,Williams-Renault,Report
12,Belgian Grand Prix,Alain Prost,Alain Prost,Damon Hill,Williams-Renault,Report
13,Italian Grand Prix,Alain Prost,Damon Hill,Damon Hill,Williams-Renault,Report
14,Portuguese Grand Prix,Damon Hill,Damon Hill,Michael Schumacher,Benetton-Ford,Report
15,Japanese Grand Prix,Alain Prost,Alain Prost,Ayrton Senna,McLaren-Ford,Report
16,Australian Grand Prix,Ayrton Senna,Damon Hill,Ayrton Senna,McLaren-Ford,Report
Source:[12],Source:[12],Source:[12],Source:[12],Source:[12],Source:[12],Source:[12]
