Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Tyre,Report
1,Argentine Grand Prix,Clay Regazzoni,Emerson Fittipaldi,Emerson Fittipaldi,Lotus-Ford,G,Report
2,Brazilian Grand Prix,Ronnie Peterson,Emerson Fittipaldi  Denny Hulme,Emerson Fittipaldi,Lotus-Ford,G,Report
3,South African Grand Prix,Denny Hulme,Emerson Fittipaldi,Jackie Stewart,Tyrrell-Ford,G,Report
4,Spanish Grand Prix,Ronnie Peterson,Ronnie Peterson,Emerson Fittipaldi,Lotus-Ford,G,Report
5,Belgian Grand Prix,Ronnie Peterson,François Cevert,Jackie Stewart,Tyrrell-Ford,G,Report
6,Monaco Grand Prix,Jackie Stewart,Emerson Fittipaldi,Jackie Stewart,Tyrrell-Ford,G,Report
7,Swedish Grand Prix,Ronnie Peterson,Denny Hulme,Denny Hulme,McLaren-Ford,G,Report
8,French Grand Prix,Jackie Stewart,Denny Hulme,Ronnie Peterson,Lotus-Ford,G,Report
9,British Grand Prix,Ronnie Peterson,James Hunt,Peter Revson,McLaren-Ford,G,Report
10,Dutch Grand Prix,Ronnie Peterson,Ronnie Peterson,Jackie Stewart,Tyrrell-Ford,G,Report
11,German Grand Prix,Jackie Stewart,Carlos Pace,Jackie Stewart,Tyrrell-Ford,G,Report
12,Austrian Grand Prix,Emerson Fittipaldi,Carlos Pace,Ronnie Peterson,Lotus-Ford,G,Report
13,Italian Grand Prix,Ronnie Peterson,Jackie Stewart,Ronnie Peterson,Lotus-Ford,G,Report
14,Canadian Grand Prix,Ronnie Peterson,Emerson Fittipaldi,Peter Revson,McLaren-Ford,G,Report
15,United States Grand Prix,Ronnie Peterson,James Hunt,Ronnie Peterson,Lotus-Ford,G,Report
