Round,Grand Prix,Circuit,Date
1,Argentine Grand Prix,"Autódromo Oscar Alfredo Gálvez, Buenos Aires",28 January
2,Brazilian Grand Prix,"Autodromo de Interlagos, São Paulo",11 February
3,South African Grand Prix,"Kyalami Grand Prix Circuit, Midrand",3 March
4,Spanish Grand Prix,"Montjuïc circuit, Barcelona",29 April
5,Belgian Grand Prix,"Circuit Zolder, Heusden-Zolder",20 May
6,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",3 June
7,Swedish Grand Prix,"Scandinavian Raceway, Anderstorp",17 June
8,French Grand Prix,"Paul Ricard Circuit, Le Castellet",1 July
9,British Grand Prix,"Silverstone Circuit, Silverstone",14 July
10,Dutch Grand Prix,"Circuit Zandvoort, Zandvoort",29 July
11,German Grand Prix,"Nürburgring, Nürburg",5 August
12,Austrian Grand Prix,"Österreichring, Spielberg",19 August
13,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",9 September
14,Canadian Grand Prix,"Mosport Park, Bowmanville",23 September
15,United States Grand Prix,"Watkins Glen International, New York",7 October
