Pos.,Manufacturer,ARG,BRA,RSA,ESP,BEL,MON,SWE,FRA,Unnamed: 10,GBR,NED,GER,AUT,ITA,CAN,USA,Pts.
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Lotus-Ford[33],1,1,3,1,(3),2,2,1,2,11,6,1,1,2,1,92 (96),
2,Tyrrell-Ford,2,2,1,2,1,1,(3),2,5,1,1,2,4,5,DNS,82 (86),
3,McLaren-Ford,5,3,2,4,7,5,1,8,1,4,3,8,3,1,4,58,
4,Brabham-Ford,6,11,7,10,4,7,4,3,6,Ret,5,4,6,8,3,22,
5,March-Ford,10,Ret,NC,7,11,9,8,6,4,3,15,Ret,9,7,2,14,
6,Ferrari,4,4,4,12,Ret,Ret,6,5,8,WD,WD,7,8,15,16,12,
7,BRM,7,6,Ret,5,5,Ret,9,9,7,5,Ret,5,13,4,8,12,
8,Shadow-Ford,,WD,6,3,9,10,14,10,Ret,10,8,Ret,10,3,13,9,
9,Surtees-Ford,Ret,12,8,Ret,8,8,10,13,Ret,7,4,3,7,9,Ret,7,
10,Iso-Marlboro-Ford,NC,7,10,11,Ret,Ret,11,14,9,6,10,9,NC,6,7,2,
11,Tecno,,,,,6,Ret,WD,WD,Ret,Ret,WD,DNS,WD,,,1,
—,Ensign-Ford,,,,WD,WD,,WD,15,13,DNS,WD,Ret,Ret,NC,Ret,0,
Pos.,Manufacturer,ARG,BRA,RSA,ESP,BEL,MON,SWE,FRA,GBR,NED,GER,AUT,ITA,CAN,USA,Pts.,
Source:[34],Source:[34],Source:[34],Source:[34],Source:[34],Source:[34],Source:[34],Source:[34],Source:[34],Source:[34],Source:[34],Source:[34],Source:[34],Source:[34],Source:[34],Source:[34],Source:[34],Source:[34],Source:[34]
