Pos.,Manufacturer,RSA,MON,NED,BEL,FRA,GBR,Unnamed: 8,GER,CAN,ITA,USA,MEX,Pts.[16]
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Brabham-Repco,4,1,2,Ret,1,2,1,1,2,(3),2,63 (67),
2,Lotus-Ford,,,1,6,Ret,1,Ret,4,3,1,1,44,
3,Cooper-Maserati,1,5,10,4,4,5,6,8,4,4,6,28,
4,Honda,3,Ret,Ret,Ret,,6,4,,1,Ret,4,20,
5,Ferrari,,3,4,3,Ret,3,3,6,7,Ret,8,20,
6,BRM,Ret,6,8,2,3,7,9,5,5,Ret,5,17,
7,Eagle-Weslake,,Ret,Ret,1,Ret,Ret,Ret,3,Ret,Ret,Ret,13,
8,Lotus-BRM,Ret,2,7,,,,,11,,,DNS,6,
9,Cooper-Climax,2,,,,,,,DNQ,,,,6,
10,McLaren-BRM,,4,Ret,,,,,7,Ret,Ret,Ret,3,
11,Brabham-Climax,5,DNQ,9,8,Ret,Ret,,,,,,2,
—,Matra-Ford,,Ret,,,,,,,,7,7,0,
—,Eagle-Climax,Ret,,,,,,,NC,,,,0,
—,LDS-Climax,Ret,,,,,,,,,,,0,
—,Lotus-Climax,,Ret,,,,,,,,,,0,
—,Cooper-ATS,,,,,,Ret,,,,,,0,
—,Lola-BMW,,,,,,,Ret,,,,,0,
Pos.,Manufacturer,RSA,MON,NED,BEL,FRA,GBR,GER,CAN,ITA,USA,MEX,Pts.,
