Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Tyre,Report
1,South African Grand Prix,Jack Brabham,Denny Hulme,Pedro Rodríguez,Cooper-Maserati,F,Report
2,Monaco Grand Prix,Jack Brabham,Jim Clark,Denny Hulme,Brabham-Repco,G,Report
3,Dutch Grand Prix,Graham Hill,Jim Clark,Jim Clark,Lotus-Ford,F,Report
4,Belgian Grand Prix,Jim Clark,Dan Gurney,Dan Gurney,Eagle-Weslake,G,Report
5,French Grand Prix,Graham Hill,Graham Hill,Jack Brabham,Brabham-Repco,G,Report
6,British Grand Prix,Jim Clark,Denny Hulme,Jim Clark,Lotus-Ford,F,Report
7,German Grand Prix,Jim Clark,Dan Gurney,Denny Hulme,Brabham-Repco,G,Report
8,Canadian Grand Prix,Jim Clark,Jim Clark,Jack Brabham,Brabham-Repco,G,Report
9,Italian Grand Prix,Jim Clark,Jim Clark,John Surtees,Honda,F,Report
10,United States Grand Prix,Graham Hill,Graham Hill,Jim Clark,Lotus-Ford,F,Report
11,Mexican Grand Prix,Jim Clark,Jim Clark,Jim Clark,Lotus-Ford,F,Report
