Round,Grand Prix,Circuit,Date
1,United States Grand Prix,"Phoenix Street Circuit, Phoenix, Arizona",11 March
2,Brazilian Grand Prix,"Autódromo José Carlos Pace, São Paulo",25 March
3,San Marino Grand Prix,"Autodromo Enzo e Dino Ferrari, Imola",13 May
4,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",27 May
5,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",10 June
6,Mexican Grand Prix,"Autódromo Hermanos Rodríguez, Mexico City",24 June
7,French Grand Prix,"Circuit Paul Ricard, Le Castellet",8 July
8,British Grand Prix,"Silverstone Circuit, Silverstone",15 July
9,German Grand Prix,"Hockenheimring, Hockenheim",29 July
10,Hungarian Grand Prix,"Hungaroring, Mogyoród",12 August
11,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",26 August
12,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",9 September
13,Portuguese Grand Prix,"Autódromo do Estoril, Estoril",23 September
14,Spanish Grand Prix,"Circuito de Jerez, Jerez de la Frontera",30 September
15,Japanese Grand Prix,"Suzuka Circuit, Suzuka",21 October
16,Australian Grand Prix,"Adelaide Street Circuit, Adelaide",4 November
