Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Report
1,United States Grand Prix,Gerhard Berger,Gerhard Berger,Ayrton Senna,McLaren-Honda,Report
2,Brazilian Grand Prix,Ayrton Senna,Gerhard Berger,Alain Prost,Ferrari,Report
3,San Marino Grand Prix,Ayrton Senna,Alessandro Nannini,Riccardo Patrese,Williams-Renault,Report
4,Monaco Grand Prix,Ayrton Senna,Ayrton Senna,Ayrton Senna,McLaren-Honda,Report
5,Canadian Grand Prix,Ayrton Senna,Gerhard Berger,Ayrton Senna,McLaren-Honda,Report
6,Mexican Grand Prix,Gerhard Berger,Alain Prost,Alain Prost,Ferrari,Report
7,French Grand Prix,Nigel Mansell,Nigel Mansell,Alain Prost,Ferrari,Report
8,British Grand Prix,Nigel Mansell,Nigel Mansell,Alain Prost,Ferrari,Report
9,German Grand Prix,Ayrton Senna,Thierry Boutsen,Ayrton Senna,McLaren-Honda,Report
10,Hungarian Grand Prix,Thierry Boutsen,Riccardo Patrese,Thierry Boutsen,Williams-Renault,Report
11,Belgian Grand Prix,Ayrton Senna,Alain Prost,Ayrton Senna,McLaren-Honda,Report
12,Italian Grand Prix,Ayrton Senna,Ayrton Senna,Ayrton Senna,McLaren-Honda,Report
13,Portuguese Grand Prix,Nigel Mansell,Riccardo Patrese,Nigel Mansell,Ferrari,Report
14,Spanish Grand Prix,Ayrton Senna,Riccardo Patrese,Alain Prost,Ferrari,Report
15,Japanese Grand Prix,Ayrton Senna,Riccardo Patrese,Nelson Piquet,Benetton-Ford,Report
16,Australian Grand Prix,Ayrton Senna,Nigel Mansell,Nelson Piquet,Benetton-Ford,Report
