Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Report
1,Australian Grand Prix,Sebastian Vettel,Kimi Räikkönen,Kimi Räikkönen,Lotus-Renault,Report
2,Malaysian Grand Prix,Sebastian Vettel,Sergio Pérez,Sebastian Vettel,Red Bull-Renault,Report
3,Chinese Grand Prix,Lewis Hamilton,Sebastian Vettel,Fernando Alonso,Ferrari,Report
4,Bahrain Grand Prix,Nico Rosberg,Sebastian Vettel,Sebastian Vettel,Red Bull-Renault,Report
5,Spanish Grand Prix,Nico Rosberg,Esteban Gutiérrez,Fernando Alonso,Ferrari,Report
6,Monaco Grand Prix,Nico Rosberg,Sebastian Vettel,Nico Rosberg,Mercedes,Report
7,Canadian Grand Prix,Sebastian Vettel,Mark Webber,Sebastian Vettel,Red Bull-Renault,Report
8,British Grand Prix,Lewis Hamilton,Mark Webber,Nico Rosberg,Mercedes,Report
9,German Grand Prix,Lewis Hamilton,Fernando Alonso,Sebastian Vettel,Red Bull-Renault,Report
10,Hungarian Grand Prix,Lewis Hamilton,Mark Webber,Lewis Hamilton,Mercedes,Report
11,Belgian Grand Prix,Lewis Hamilton,Sebastian Vettel,Sebastian Vettel,Red Bull-Renault,Report
12,Italian Grand Prix,Sebastian Vettel,Lewis Hamilton,Sebastian Vettel,Red Bull-Renault,Report
13,Singapore Grand Prix,Sebastian Vettel,Sebastian Vettel,Sebastian Vettel,Red Bull-Renault,Report
14,Korean Grand Prix,Sebastian Vettel,Sebastian Vettel,Sebastian Vettel,Red Bull-Renault,Report
15,Japanese Grand Prix,Mark Webber,Mark Webber,Sebastian Vettel,Red Bull-Renault,Report
16,Indian Grand Prix,Sebastian Vettel,Kimi Räikkönen,Sebastian Vettel,Red Bull-Renault,Report
17,Abu Dhabi Grand Prix,Mark Webber,Fernando Alonso,Sebastian Vettel,Red Bull-Renault,Report
18,United States Grand Prix,Sebastian Vettel,Sebastian Vettel,Sebastian Vettel,Red Bull-Renault,Report
19,Brazilian Grand Prix,Sebastian Vettel,Mark Webber,Sebastian Vettel,Red Bull-Renault,Report
Source:[152],Source:[152],Source:[152],Source:[152],Source:[152],Source:[152],Source:[152]
