0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Pos. Constructor No. AUS MAL CHN BHR ESP MON CAN GBR GER HUN BEL ITA SIN KOR JPN IND ABU USA BRA Points 1  Red Bull Racing-Renault 1 3P 1P 4F 1F 4 2F 1P Ret 1 3 1F 1P 1PF 1PF 1 1P 1 1PF 1P 596 2 6 2 Ret 7 5 3 4F 2F 7 4F 5 3 15† Ret 2PF Ret 2P 3 2F 2  Mercedes 9 Ret 4 Ret 9P 6P 1P 5 1 9 19† 4 6 4 7 8 2 3 9 5 360 10 5 3 3P 5 12 4 3 4P 5P 1P 3P 9F 5 5 Ret 6 7 4 9 3  Ferrari 3 2 Ret 1 8 1 7 2 3 4F 5 2 2 2 6 4 11 5F 5 3 354 4 4 5 6 15 3 Ret 8 6 Ret 8 7 4 6 9 10 4 8 12 7 4  Lotus-Renault 7 1F 7 2 2 2 10 9 5 2 2 Ret 11 3 2 5 7F Ret 14 14 315 8 10 6 9 3 Ret Ret 13 19† 3 6 8 8 Ret 3 3 3 4 2 Ret 5  McLaren-Mercedes 5 9 17† 5 10 8 6 12 13 6 7 6 10 7 8 9 14 12 10 4 122 6 11 9F 11 6 9 16† 11 20† 8 9 11 12 8 10 15 5 9 7 6 6  Force India-Mercedes 14 8 Ret 8 4 7 9 7 9 11 18† Ret Ret 20† Ret 11 8 6 15 11 77 15 7 Ret Ret 13 13 5 10 7 13 Ret 9 16† 10 20† 14 9 10 Ret 13 7  Sauber-Ferrari 11 DNS 8 10 12 15 11 Ret 10 10 11 13 5 9 4 6 19† 14 6 8 57 12 13 12 Ret 18 11F 13 20† 14 14 Ret 14 13 12 11 7 15 13 13 12 8  Toro Rosso-Ferrari 18 12 10 12 Ret Ret 8 6 Ret Ret 12 12 Ret 14 18† 12 13 17 16 15 33 19 Ret 18† 7 16 10 Ret 15 8 12 13 10 7 Ret 19† 13 10 16 11 10 9  Williams-Renault 16 Ret Ret 14 11 14 Ret 16 11 15 10 17 14 11 13 16 12 11 17 16 5 17 14 11 13 14 16 12 14 12 16 Ret 15 15 13 12 17 16 15 8 Ret 10  Marussia-Cosworth 22 15 13 15 19 18 Ret 17 16 Ret 16 18 19 18 16 Ret 18 20 18 17 0 23 17 16 17 20 19 14 19 17 19 17 19 20 17 17 19 17 21 21 19 11  Caterham-Renault 20 16 14 16 17 17 Ret 18 15 17 15 Ret 17 19 14 18 Ret 19 20 Ret 0 21 18 15 18 21 Ret 15 Ret 18 18 14 16 18 16 15 Ret Ret 18 19 18 Pos. Constructor No. AUS MAL CHN BHR ESP MON CAN GBR GER HUN BEL ITA SIN KOR JPN IND ABU USA BRA Points Source:[154],"Key Colour Result Gold Winner Silver Second place Bronze Third place Green Other points position Blue Other classified position Not classified, finished (NC) Purple Not classified, retired (Ret) Red Did not qualify (DNQ) Black Disqualified (DSQ) White Did not start (DNS) Race cancelled (C) Blank Did not practice (DNP) Excluded (EX) Did not arrive (DNA) Withdrawn (WD) Did not enter (empty cell) Annotation Meaning P Pole position F Fastest lap",,,,,,,,,,,,,,,,,,,,,
Pos.,Constructor,No.,AUS,MAL,CHN,BHR,ESP,MON,CAN,GBR,GER,HUN,BEL,ITA,SIN,KOR,JPN,IND,ABU,USA,BRA,Points
1,Red Bull Racing-Renault,1,3P,1P,4F,1F,4,2F,1P,Ret,1,3,1F,1P,1PF,1PF,1,1P,1,1PF,1P,596
1,Red Bull Racing-Renault,2,6,2,Ret,7,5,3,4F,2F,7,4F,5,3,15†,Ret,2PF,Ret,2P,3,2F,596
2,Mercedes,9,Ret,4,Ret,9P,6P,1P,5,1,9,19†,4,6,4,7,8,2,3,9,5,360
2,Mercedes,10,5,3,3P,5,12,4,3,4P,5P,1P,3P,9F,5,5,Ret,6,7,4,9,360
3,Ferrari,3,2,Ret,1,8,1,7,2,3,4F,5,2,2,2,6,4,11,5F,5,3,354
3,Ferrari,4,4,5,6,15,3,Ret,8,6,Ret,8,7,4,6,9,10,4,8,12,7,354
4,Lotus-Renault,7,1F,7,2,2,2,10,9,5,2,2,Ret,11,3,2,5,7F,Ret,14,14,315
4,Lotus-Renault,8,10,6,9,3,Ret,Ret,13,19†,3,6,8,8,Ret,3,3,3,4,2,Ret,315
