Unnamed: 0,Driver,Age,Year
1,Sebastian Vettel,"23 years, 134 days",2010
2,Lewis Hamilton,"23 years, 300 days",2008
3,Fernando Alonso,"24 years, 59 days",2005
4,Max Verstappen,"24 years, 73 days",2021
5,Sebastian Vettel,"24 years, 99 days",2011
6,Max Verstappen,"25 years, 9 days",2022
7,Fernando Alonso,"25 years, 85 days",2006
8,Sebastian Vettel,"25 years, 146 days",2012
9,Emerson Fittipaldi,"25 years, 303 days",1972
10,Michael Schumacher,"25 years, 314 days",1994
Source:[103][104],Source:[103][104],Source:[103][104],Source:[103][104]
