Unnamed: 0,Driver,Age,Place,Race
1,Louis Chiron,"58 years, 277 days",DNQ,1958 Monaco Grand Prix
2,Luigi Platé,"56 years, 0 days",DNQ,1950 Italian Grand Prix
3,Philippe Étancelin,"55 years, 191 days",8th,1952 French Grand Prix
4,Arthur Legat,"54 years, 232 days",Ret,1953 Belgian Grand Prix
5,Kurt Kuhnke,"53 years, 96 days",DNQ,1963 German Grand Prix
6,Luigi Fagioli,"53 years, 22 days",1st,1951 French Grand Prix
7,Piero Dusio,"52 years, 330 days",DNQ,1952 Italian Grand Prix
8,Adolf Brudes,"52 years, 293 days",Ret,1952 German Grand Prix
9,Hans Stuck,"52 years, 260 days",14th,1953 Italian Grand Prix
10,Jack Ensley,"52 years, 225 days",DNQ,1959 Indianapolis 500[N 1]
Sources:[3][4],Sources:[3][4],Sources:[3][4],Sources:[3][4],Sources:[3][4]
