Unnamed: 0,Driver,Age,Race
1,Sebastian Vettel,"21 years, 72 days",2008 Italian Grand Prix
2,Charles Leclerc,"21 years, 165 days",2019 Bahrain Grand Prix
3,Fernando Alonso,"21 years, 236 days",2003 Malaysian Grand Prix
4,Max Verstappen,"21 years, 307 days",2019 Hungarian Grand Prix
5,Lando Norris,"21 years, 316 days",2021 Russian Grand Prix
6,Lance Stroll,"22 years, 16 days",2020 Turkish Grand Prix
7,Rubens Barrichello,"22 years, 97 days",1994 Belgian Grand Prix
8,Lewis Hamilton,"22 years, 153 days",2007 Canadian Grand Prix
9,Andrea de Cesaris,"22 years, 308 days",1982 United States Grand Prix West
10,Nico Hülkenberg,"23 years, 79 days",2010 Brazilian Grand Prix
Sources:[17][37],Sources:[17][37],Sources:[17][37],Sources:[17][37]
