Unnamed: 0,Driver,Age,Race
1,Juan Manuel Fangio,"46 years, 209 days",1958 Argentine Grand Prix
2,Piero Taruffi,"45 years, 219 days",1952 Swiss Grand Prix
3,Giuseppe Farina,"44 years, 321 days",1951 Italian Grand Prix
4,Jack Brabham,"44 years, 107 days",1970 British Grand Prix
5,Luigi Villoresi,"44 years, 22 days",1953 Dutch Grand Prix
6,Karl Kling,"43 years, 319 days",1954 German Grand Prix
7,Michael Schumacher,"43 years, 201 days",2012 German Grand Prix
8,Fernando Alonso,"42 years, 339 days",2024 Austrian Grand Prix
9,Paul Russo,"42 years, 50 days",1956 Indianapolis 500
10,Maurice Trintignant,"42 years, 43 days",1959 United States Grand Prix
Source:[45],Source:[45],Source:[45],Source:[45]
