Unnamed: 0,Entry,Start,Driver,Race
1,70th,44th,Nicola Larini,1994 San Marino Grand Prix
2,42nd,40th,Jonathan Palmer,1987 Monaco Grand Prix
3,37th,37th,George Russell,2020 Sakhir Grand Prix
4,32nd,28th,Philippe Alliot,1986 Mexican Grand Prix
4,32nd,30th,Alessandro Nannini,1988 San Marino Grand Prix
4,32nd,31st,Mick Schumacher,2022 British Grand Prix
7,31st,26th,Alex Caffi,1989 Monaco Grand Prix
7,31st,29th,Ukyo Katayama,1994 Brazilian Grand Prix
9,28th,28th,Nicholas Latifi,2021 Hungarian Grand Prix
10,26th,25th,Harry Schell,1956 Belgian Grand Prix
Source:[75],Source:[75],Source:[75],Source:[75],Source:[75]
