Round,Grand Prix,Circuit,Date
1,Australian Grand Prix,"Albert Park Circuit, Melbourne",6 March
2,Malaysian Grand Prix,"Sepang International Circuit, Kuala Lumpur",20 March
3,Bahrain Grand Prix,"Bahrain International Circuit, Sakhir",3 April
4,San Marino Grand Prix,"Autodromo Enzo e Dino Ferrari, Imola",24 April
5,Spanish Grand Prix,"Circuit de Catalunya, Montmeló",8 May
6,Monaco Grand Prix,"Circuit de Monaco, Monte-Carlo",22 May
7,European Grand Prix,"Nürburgring, Nürburg",29 May
8,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",12 June
9,United States Grand Prix,"Indianapolis Motor Speedway, Speedway",19 June
10,French Grand Prix,"Circuit de Nevers Magny-Cours, Magny-Cours",3 July
11,British Grand Prix,"Silverstone Circuit, Silverstone",10 July
12,German Grand Prix,"Hockenheimring, Hockenheim",24 July
13,Hungarian Grand Prix,"Hungaroring, Mogyoród",31 July
14,Turkish Grand Prix,"Istanbul Park, Istanbul",21 August
15,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",4 September
16,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",11 September
17,Brazilian Grand Prix,"Autódromo José Carlos Pace, São Paulo",25 September
18,Japanese Grand Prix,"Suzuka Circuit, Suzuka",9 October
19,Chinese Grand Prix,"Shanghai International Circuit, Shanghai",16 October
Sources:[8][9],Sources:[8][9],Sources:[8][9],Sources:[8][9]
