Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Report
1,Australian Grand Prix,Giancarlo Fisichella,Fernando Alonso,Giancarlo Fisichella,Renault,Report
2,Malaysian Grand Prix,Fernando Alonso,Kimi Räikkönen,Fernando Alonso,Renault,Report
3,Bahrain Grand Prix,Fernando Alonso,Pedro de la Rosa,Fernando Alonso,Renault,Report
4,San Marino Grand Prix,Kimi Räikkönen,Michael Schumacher,Fernando Alonso,Renault,Report
5,Spanish Grand Prix,Kimi Räikkönen,Giancarlo Fisichella,Kimi Räikkönen,McLaren-Mercedes,Report
6,Monaco Grand Prix,Kimi Räikkönen,Michael Schumacher,Kimi Räikkönen,McLaren-Mercedes,Report
7,European Grand Prix,Nick Heidfeld,Fernando Alonso,Fernando Alonso,Renault,Report
8,Canadian Grand Prix,Jenson Button,Kimi Räikkönen,Kimi Räikkönen,McLaren-Mercedes,Report
9,United States Grand Prix,Jarno Trulli[h],Michael Schumacher,Michael Schumacher,Ferrari,Report
10,French Grand Prix,Fernando Alonso,Kimi Räikkönen,Fernando Alonso,Renault,Report
11,British Grand Prix,Fernando Alonso,Kimi Räikkönen,Juan Pablo Montoya,McLaren-Mercedes,Report
12,German Grand Prix,Kimi Räikkönen,Kimi Räikkönen,Fernando Alonso,Renault,Report
13,Hungarian Grand Prix,Michael Schumacher,Kimi Räikkönen,Kimi Räikkönen,McLaren-Mercedes,Report
14,Turkish Grand Prix,Kimi Räikkönen,Juan Pablo Montoya,Kimi Räikkönen,McLaren-Mercedes,Report
15,Italian Grand Prix,Juan Pablo Montoya,Kimi Räikkönen,Juan Pablo Montoya,McLaren-Mercedes,Report
16,Belgian Grand Prix,Juan Pablo Montoya,Ralf Schumacher,Kimi Räikkönen,McLaren-Mercedes,Report
17,Brazilian Grand Prix,Fernando Alonso,Kimi Räikkönen,Juan Pablo Montoya,McLaren-Mercedes,Report
18,Japanese Grand Prix,Ralf Schumacher,Kimi Räikkönen,Kimi Räikkönen,McLaren-Mercedes,Report
19,Chinese Grand Prix,Fernando Alonso,Kimi Räikkönen,Fernando Alonso,Renault,Report
Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16]
