Round,Grand Prix,Circuit,Date
1,Bahrain Grand Prix,"Bahrain International Circuit, Sakhir",14 March
2,Australian Grand Prix,"Albert Park Circuit, Melbourne",28 March
3,Malaysian Grand Prix,"Sepang International Circuit, Kuala Lumpur",4 April
4,Chinese Grand Prix,"Shanghai International Circuit, Shanghai",18 April
5,Spanish Grand Prix,"Circuit de Catalunya, Montmeló",9 May
6,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",16 May
7,Turkish Grand Prix,"Istanbul Park, Istanbul",30 May
8,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",13 June
9,European Grand Prix,"Valencia Street Circuit, Valencia",27 June
10,British Grand Prix,"Silverstone Circuit, Silverstone",11 July
11,German Grand Prix,"Hockenheimring, Hockenheim",25 July
12,Hungarian Grand Prix,"Hungaroring, Mogyoród",1 August
13,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",29 August
14,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",12 September
15,Singapore Grand Prix,"Marina Bay Street Circuit, Singapore",26 September
16,Japanese Grand Prix,"Suzuka Circuit, Suzuka",10 October
17,Korean Grand Prix,"Korea International Circuit, Yeongam",24 October
18,Brazilian Grand Prix,"Autódromo José Carlos Pace, São Paulo",7 November
19,Abu Dhabi Grand Prix,"Yas Marina Circuit, Abu Dhabi",14 November
Source:[75],Source:[75],Source:[75],Source:[75]
