0,1,2,3,4
#,Pilote,Âge,Résultat,Course
1,Luigi Fagioli,53 ans et 22 jours,1er,Grand Prix automobile de France 1951
2,Louis Chiron,"50 ans, 9 mois et 18 jours",3e,Grand Prix automobile de Monaco 1950
3,Felice Bonetto,"49 ans, 11 mois et 29 jours",3e,Grand Prix automobile des Pays-Bas 1953
4,Piero Taruffi,"48 ans, 10 mois et 30 jours",2e,Grand Prix automobile d'Italie 1955
5,Giuseppe Farina,"48 ans, 7 mois et 6 jours",3e,Grand Prix automobile de Belgique 1955
6,Juan Manuel Fangio,"46 ans, 2 mois et 15 jours",2e,Grand Prix automobile d'Italie 1957
7,Karl Kling,44 ans et 10 mois,3e,Grand Prix automobile de Grande-Bretagne 1955
8,Louis Rosier,"44 ans, 7 mois et 13 jours",3e,Grand Prix automobile de Belgique 1950
9,Luigi Villoresi,"44 ans, 3 mois et 28 jours",2e,Grand Prix automobile d'Italie 1953
10,Jack Brabham,"44 ans, 3 mois et 16 jours",2e,Grand Prix automobile de Grande-Bretagne 1970
