Round,Grand Prix,Circuit,Date
1,Argentine Grand Prix,"Autódromo Oscar Alfredo Gálvez, Buenos Aires",23 January
2,South African Grand Prix,"Kyalami Grand Prix Circuit, Midrand",4 March
3,Spanish Grand Prix,"Circuito Permanente Del Jarama, Madrid",1 May
4,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",14 May
5,Belgian Grand Prix,"Nivelles-Baulers, Nivelles",4 June
6,French Grand Prix,"Charade Circuit, Clermont-Ferrand",2 July
7,British Grand Prix,"Brands Hatch, Kent",15 July
8,German Grand Prix,"Nürburgring, Nürburg",30 July
9,Austrian Grand Prix,"Österreichring, Spielberg",13 August
10,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",10 September
11,Canadian Grand Prix,"Mosport Park, Bowmanville",24 September[a]
12,United States Grand Prix,"Watkins Glen International, New York",8 October
