Round,Grand Prix,Circuit,Date
1,Australian Grand Prix,"Albert Park Circuit, Melbourne",7 March
2,Malaysian Grand Prix,"Sepang International Circuit, Sepang",21 March
3,Bahrain Grand Prix,"Bahrain International Circuit, Sakhir",4 April
4,San Marino Grand Prix,"Autodromo Enzo e Dino Ferrari, Imola",25 April
5,Spanish Grand Prix,"Circuit de Catalunya, Montmeló",9 May
6,Monaco Grand Prix,"Circuit de Monaco, Monaco",23 May
7,European Grand Prix,"Nürburgring, Nürburg",30 May
8,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",13 June
9,United States Grand Prix,"Indianapolis Motor Speedway, Speedway",20 June
10,French Grand Prix,"Circuit de Nevers Magny-Cours, Magny Cours",4 July
11,British Grand Prix,"Silverstone Circuit, Silverstone",11 July
12,German Grand Prix,"Hockenheimring, Hockenheim",25 July
13,Hungarian Grand Prix,"Hungaroring, Mogyoród",15 August
14,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",29 August
15,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",12 September
16,Chinese Grand Prix,"Shanghai International Circuit, Shanghai",26 September
17,Japanese Grand Prix,"Suzuka Circuit, Suzuka",10 October
18,Brazilian Grand Prix,"Autódromo José Carlos Pace, São Paulo",24 October
Sources:[13][14],Sources:[13][14],Sources:[13][14],Sources:[13][14]
