Round,Grand Prix,Circuit,Date
1,Australian Grand Prix,"Albert Park Circuit, Melbourne",3 March
2,Malaysian Grand Prix,"Sepang International Circuit, Kuala Lumpur",17 March
3,Brazilian Grand Prix,"Autódromo José Carlos Pace, São Paulo",31 March
4,San Marino Grand Prix,"Autodromo Enzo e Dino Ferrari, Imola",14 April
5,Spanish Grand Prix,"Circuit de Catalunya, Montmeló",28 April
6,Austrian Grand Prix,"A1-Ring, Spielberg",12 May
7,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",26 May
8,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",9 June
9,European Grand Prix,"Nürburgring, Nürburg",23 June
10,British Grand Prix,"Silverstone Circuit, Silverstone",7 July
11,French Grand Prix,"Circuit de Nevers Magny-Cours, Magny-Cours",21 July
12,German Grand Prix,"Hockenheimring, Hockenheim",28 July
13,Hungarian Grand Prix,"Hungaroring, Mogyoród",18 August
14,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",1 September
15,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",15 September
16,United States Grand Prix,"Indianapolis Motor Speedway, Speedway",29 September
17,Japanese Grand Prix,"Suzuka Circuit, Suzuka",13 October
Sources:[38][39],Sources:[38][39],Sources:[38][39],Sources:[38][39]
