Pos.,Manufacturer,ARG,MON,NED,BEL,FRA,GBR,POR,ITA,USA,Pts.[b]
1,Cooper-Climax,1,(2),1,1,1,1,1,8,(3),48 (58)
2,Lotus-Climax,(6),1,2,5,(5),2,3,,1,34 (37)
3,Ferrari,2,3,5,4,11,(6),4,1,,26 (27)
4,BRM,7,5,3,Ret,Ret,10,Ret,,5,8
5,Cooper-Maserati,4,Ret,Ret,,9,14,Ret,Ret,9,3
6,Cooper-Castellotti,,DNQ,,,Ret,15,,4,,3
7,Porsche,,,,,,,,6,,1
—,Behra-Porsche-Porsche,12,,,,,,,10,,0
—,Scarab,WD,DNQ,DNS,Ret,DNS,,,,10,0
—,Aston Martin,,,DNS,,,11,,,,0
—,Cooper-Ferrari,,,,,,,,,11,0
—,Maserati,13,,,,,,,DNS,13,0
—,JBW-Maserati,,DNQ,,,,13,,Ret,Ret,0
—,Vanwall,,,,,Ret,,,,,0
Pos.,Manufacturer,ARG,MON,NED,BEL,FRA,GBR,POR,ITA,USA,Pts.
