Round,Grand Prix,Circuit,Date
1,Australian Grand Prix,"Albert Park Circuit, Melbourne",17 March
2,Bahrain Grand Prix,"Bahrain International Circuit, Sakhir",31 March
3,Chinese Grand Prix,"Shanghai International Circuit, Shanghai",14 April
4,Azerbaijan Grand Prix,"Baku City Circuit, Baku",28 April
5,Spanish Grand Prix,"Circuit de Barcelona-Catalunya, Montmeló",12 May
6,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",26 May
7,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montréal",9 June
8,French Grand Prix,"Circuit Paul Ricard, Le Castellet",23 June
9,Austrian Grand Prix,"Red Bull Ring, Spielberg",30 June
10,British Grand Prix,"Silverstone Circuit, Silverstone",14 July
11,German Grand Prix,"Hockenheimring, Hockenheim",28 July
12,Hungarian Grand Prix,"Hungaroring, Mogyoród",4 August
13,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",1 September
14,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",8 September
15,Singapore Grand Prix,"Marina Bay Street Circuit, Singapore",22 September
16,Russian Grand Prix,"Sochi Autodrom, Sochi",29 September
17,Japanese Grand Prix,"Suzuka International Racing Course, Suzuka",13 October
18,Mexican Grand Prix,"Autódromo Hermanos Rodríguez, Mexico City",27 October
19,United States Grand Prix,"Circuit of the Americas, Austin, Texas",3 November
20,Brazilian Grand Prix,"Autódromo José Carlos Pace, São Paulo",17 November
21,Abu Dhabi Grand Prix,"Yas Marina Circuit, Abu Dhabi",1 December
Sources:[57][58][59],Sources:[57][58][59],Sources:[57][58][59],Sources:[57][58][59]
