Round,Grand Prix,Circuit,Date
1,Argentine Grand Prix,"Autódromo Oscar Alfredo Gálvez, Buenos Aires",19 January
2,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",18 May
3,Dutch Grand Prix,"Circuit Zandvoort, Zandvoort",26 May
4,Indianapolis 500,"Indianapolis Motor Speedway, Speedway",30 May[a]
5,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",15 June
6,French Grand Prix,"Reims-Gueux, Gueux",6 July
7,British Grand Prix,"Silverstone Circuit, Silverstone",19 July
8,German Grand Prix,"Nürburgring, Nürburg",3 August
9,Portuguese Grand Prix,"Circuito da Boavista, Porto",24 August
10,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",7 September
11,Moroccan Grand Prix,"Ain-Diab Circuit, Casablanca",19 October
