Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Tyre,Report
1,Argentine Grand Prix,Juan Manuel Fangio,Juan Manuel Fangio,Stirling Moss,Cooper-Climax,C,Report
2,Monaco Grand Prix,Tony Brooks,Mike Hawthorn,Maurice Trintignant,Cooper-Climax,D,Report
3,Dutch Grand Prix,Stuart Lewis-Evans,Stirling Moss,Stirling Moss,Vanwall,D,Report
4,Indianapolis 500,Dick Rathmann,Tony Bettenhausen,Jimmy Bryan,Salih-Offenhauser,F,Report
5,Belgian Grand Prix,Mike Hawthorn,Mike Hawthorn,Tony Brooks,Vanwall,D,Report
6,French Grand Prix,Mike Hawthorn,Mike Hawthorn,Mike Hawthorn,Ferrari,E,Report
7,British Grand Prix,Stirling Moss,Mike Hawthorn,Peter Collins,Ferrari,E,Report
8,German Grand Prix,Mike Hawthorn,Stirling Moss,Tony Brooks,Vanwall,D,Report
9,Portuguese Grand Prix,Stirling Moss,Mike Hawthorn,Stirling Moss,Vanwall,D,Report
10,Italian Grand Prix,Stirling Moss,Phil Hill,Tony Brooks,Vanwall,D,Report
11,Moroccan Grand Prix,Mike Hawthorn,Stirling Moss,Stirling Moss,Vanwall,D,Report
