Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Tyre,Report
1,South African Grand Prix,Jack Brabham,Jackie Stewart,Jackie Stewart,Matra-Ford,D,Report
2,Spanish Grand Prix,Jochen Rindt,Jochen Rindt,Jackie Stewart,Matra-Ford,D,Report
3,Monaco Grand Prix,Jackie Stewart,Jackie Stewart,Graham Hill,Lotus-Ford,F,Report
4,Dutch Grand Prix,Jochen Rindt,Jackie Stewart,Jackie Stewart,Matra-Ford,D,Report
5,French Grand Prix,Jackie Stewart,Jackie Stewart,Jackie Stewart,Matra-Ford,D,Report
6,British Grand Prix,Jochen Rindt,Jackie Stewart,Jackie Stewart,Matra-Ford,D,Report
7,German Grand Prix,Jacky Ickx,Jacky Ickx,Jacky Ickx,Brabham-Ford,G,Report
8,Italian Grand Prix,Jochen Rindt,Jean-Pierre Beltoise,Jackie Stewart,Matra-Ford,D,Report
9,Canadian Grand Prix,Jacky Ickx,Jacky Ickx  Jack Brabham,Jacky Ickx,Brabham-Ford,G,Report
10,United States Grand Prix,Jochen Rindt,Jochen Rindt,Jochen Rindt,Lotus-Ford,F,Report
11,Mexican Grand Prix,Jack Brabham,Jacky Ickx,Denny Hulme,McLaren-Ford,G,Report
