Round,Grand Prix,Circuit,Date
1,South African Grand Prix,"Kyalami Grand Prix Circuit, Midrand",1 March
2,Spanish Grand Prix,"Montjuïc circuit, Barcelona",4 May
3,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",18 May
4,Dutch Grand Prix,"Circuit Zandvoort, Zandvoort",21 June
5,French Grand Prix,"Charade Circuit, Clermont-Ferrand",6 July
6,British Grand Prix,"Silverstone Circuit, Silverstone",19 July
7,German Grand Prix,"Nürburgring, Nürburg",3 August
8,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",7 September
9,Canadian Grand Prix,"Mosport Park, Bowmanville",20 September
10,United States Grand Prix,"Watkins Glen International, New York",5 October
11,Mexican Grand Prix,"Magdalena Mixhuca, Mexico City",19 October
