Pos,Manufacturer,ARG,BRA,RSA,ESP,BEL,MON,SWE,NED,Unnamed: 10,FRA,GBR,GER,AUT,ITA,CAN,USA,Pts[7]
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,McLaren-Ford,1,1,3,3,1,(5),4,3,6,2,15,2,2,1,4,73 (75),
2,Ferrari,2,2,16,1,2,4,Ret,1,2,4,1,5,Ret,2,11,65,
3,Tyrrell-Ford,6,8,4,5,3,2,1,5,4,1,2,Ret,3,5,6,52,
4,Lotus-Ford,13,3,13,Ret,Ret,1,Ret,8,1,3,4,Ret,1,3,Ret,42,
5,Brabham-Ford,7,7,1,11,11,6,9,7,16,6,3,1,5,8,1,35,
6,Hesketh-Ford,,,Ret,10,Ret,Ret,3,Ret,Ret,Ret,Ret,3,Ret,4,3,15,
7,BRM,5,10,2,12,5,Ret,Ret,Ret,10,12,10,Ret,Ret,NC,9,10,
8,Shadow-Ford,Ret,Ret,WD,7,13,3,5,Ret,12,8,6,8,10,Ret,10,7,
9,March-Ford,8,9,5,4,9,Ret,10,10,11,Ret,7,6,Ret,Ret,Ret,6,
10,Iso-Marlboro-Ford,Ret,Ret,6,Ret,14,Ret,8,Ret,9,Ret,Ret,NC,4,15,Ret,4,
11,Surtees-Ford,Ret,4,11,13,Ret,Ret,Ret,Ret,Ret,14,11,9,DNQ,10,Ret,3,
12,Lola-Ford,11,11,12,Ret,8,7,6,Ret,13,13,9,12,8,11,8,1,
—,Parnelli-Ford,,,,,,,,,,,,,,7,DSQ,0,
—,Trojan-Ford,,,,14,10,Ret,,DNQ,,Ret,DNQ,10,Ret,,,0,
—,Penske-Ford,,,,,,,,,,,,,,12,Ret,0,
—,Token-Ford,,,,,Ret,,,,WD,DNQ,14,NC,,,,0,
—,Ensign-Ford,DNS,WD,WD,,15,Ret,DSQ,DSQ,DNQ,DNQ,Ret,DNQ,DNQ,DNQ,NC,0,
—,Amon-Ford,,,,Ret,WD,DNS,WD,,,,DNQ,,DNQ,,,0,
—,Maki-Ford,,,,,,WD,,,,DNQ,DNQ,,,,,0,
—,Lyncar-Ford,,,,,WD,,,,,DNQ,,,,,,0,
Pos,Constructor,ARG,BRA,RSA,ESP,BEL,MON,SWE,NED,FRA,GBR,GER,AUT,ITA,CAN,USA,Pts,
