Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Tyre,Report
1,Argentine Grand Prix,Ronnie Peterson,Clay Regazzoni,Denny Hulme,McLaren-Ford,G,Report
2,Brazilian Grand Prix,Emerson Fittipaldi,Clay Regazzoni,Emerson Fittipaldi,McLaren-Ford,G,Report
3,South African Grand Prix,Niki Lauda,Carlos Reutemann,Carlos Reutemann,Brabham-Ford,G,Report
4,Spanish Grand Prix,Niki Lauda,Niki Lauda,Niki Lauda,Ferrari,G,Report
5,Belgian Grand Prix,Clay Regazzoni,Denny Hulme,Emerson Fittipaldi,McLaren-Ford,G,Report
6,Monaco Grand Prix,Niki Lauda,Ronnie Peterson,Ronnie Peterson,Lotus-Ford,G,Report
7,Swedish Grand Prix,Patrick Depailler,Patrick Depailler,Jody Scheckter,Tyrrell-Ford,G,Report
8,Dutch Grand Prix,Niki Lauda,Ronnie Peterson,Niki Lauda,Ferrari,G,Report
9,French Grand Prix,Niki Lauda,Jody Scheckter,Ronnie Peterson,Lotus-Ford,G,Report
10,British Grand Prix,Niki Lauda,Niki Lauda,Jody Scheckter,Tyrrell-Ford,G,Report
11,German Grand Prix,Niki Lauda,Jody Scheckter,Clay Regazzoni,Ferrari,G,Report
12,Austrian Grand Prix,Niki Lauda,Clay Regazzoni,Carlos Reutemann,Brabham-Ford,G,Report
13,Italian Grand Prix,Niki Lauda,Carlos Pace,Ronnie Peterson,Lotus-Ford,G,Report
14,Canadian Grand Prix,Emerson Fittipaldi,Niki Lauda,Emerson Fittipaldi,McLaren-Ford,G,Report
15,United States Grand Prix,Carlos Reutemann,Carlos Pace,Carlos Reutemann,Brabham-Ford,G,Report
