Round,Grand Prix,Circuit,Race date
1,Bahrain Grand Prix,"Bahrain International Circuit, Sakhir",28 March
2,Emilia Romagna Grand Prix,"Imola Circuit, Imola",18 April
3,Portuguese Grand Prix,"Algarve International Circuit, Portimão",2 May
4,Spanish Grand Prix,"Circuit de Barcelona-Catalunya, Montmeló",9 May
5,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",23 May
6,Azerbaijan Grand Prix,"Baku City Circuit, Baku",6 June
7,French Grand Prix,"Circuit Paul Ricard, Le Castellet",20 June[e]
8,Styrian Grand Prix,"Red Bull Ring, Spielberg",27 June
9,Austrian Grand Prix,"Red Bull Ring, Spielberg",4 July
10,British Grand Prix,"Silverstone Circuit, Silverstone",18 July
11,Hungarian Grand Prix,"Hungaroring, Mogyoród",1 August
12,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",29 August
13,Dutch Grand Prix,"Circuit Zandvoort, Zandvoort",5 September
14,Italian Grand Prix,"Monza Circuit, Monza",12 September
15,Russian Grand Prix,"Sochi Autodrom, Sochi",26 September
16,Turkish Grand Prix,"Istanbul Park, Tuzla",10 October[f]
17,United States Grand Prix,"Circuit of the Americas, Austin, Texas",24 October
18,Mexico City Grand Prix,"Autódromo Hermanos Rodríguez, Mexico City",7 November[g]
19,São Paulo Grand Prix,"Interlagos Circuit, São Paulo",14 November[h]
20,Qatar Grand Prix,"Lusail International Circuit, Lusail",21 November
21,Saudi Arabian Grand Prix,"Jeddah Corniche Circuit, Jeddah",5 December[i]
22,Abu Dhabi Grand Prix,"Yas Marina Circuit, Abu Dhabi",12 December[j]
Sources:[65][66][67][68][69][70][71][72][73][74],Sources:[65][66][67][68][69][70][71][72][73][74],Sources:[65][66][67][68][69][70][71][72][73][74],Sources:[65][66][67][68][69][70][71][72][73][74]
